"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,5.9402,5.9602,5.94,5.92,5.8802,6.37525000000001,5.98,0,0,5.98,5.9402,5.9202,5.9602,5.9,5.8602,5.9202,5.9602,5.9202,5.94,6.375,5.92,0,6.425,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",5.98,0,5.9602,5.96,5.94,5.90040000000001,6.35,5.88,0,0,5.94,5.96,5.9602,5.92,5.9,5.88060000000001,5.94040000000001,5.92,5.96,5.92,6.325,5.92060000000001,0,6.45025000000001,5.9202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",5.92,5.94,0,5.94,5.94,5.98,6.425,5.98,0,0,5.92,5.96,5.94,5.9202,5.9602,5.92,5.9402,5.8602,5.94,6.02,6.325,5.96,0,6.37525000000001,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",5.94,5.92,5.9002,0,5.92,5.86040000000001,6.375,6,0,0,5.92040000000001,5.94,5.98,5.84,5.94,5.98,5.9202,5.9802,5.9,5.94,6.30025000000001,5.98,0,6.375,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",5.94040000000001,5.94,5.88040000000001,5.9202,0,5.96,6.3,5.94,0,0,6,5.9202,5.96,5.9202,5.9,5.9202,5.96,5.9002,5.94,5.96,6.35,5.98,0,6.45,5.9202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",5.9402,5.94,5.96,5.9402,5.94,0,6.375,5.9402,0,0,5.94,5.94,5.98,5.96,5.96,5.94,5.9202,6,5.94,5.94040000000001,6.325,5.96,0,6.425,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",6.30050000000001,6.37525000000001,6.3,6.32525000000001,6.275,6.32525000000001,0,6.35,0,0,6.3,6.40025000000001,6.35075000000002,6.32525000000001,6.35,6.37525000000001,6.325,6.325,6.325,6.35,6.4,6.3,0,6.96666666666667,6.40025000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",5.88,5.98,5.9,5.92,5.9802,5.9402,6.37550000000001,0,0,0,5.9,5.9,5.9,5.9002,5.92,5.98,5.92,5.9,5.92,5.94,6.325,5.88,0,6.35,5.88040000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norway",5.92,5.9002,5.9402,5.92,5.9602,5.98,6.425,5.94,0,0,0,5.94,5.92,5.9602,5.9,6,5.94,5.98,5.92,5.94,6.35,5.92,0,6.42525000000001,5.9402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",6,5.90040000000001,5.9,5.9802,5.88,5.98,6.35025000000001,5.92,0,0,5.94,0,5.94,5.9202,5.9602,5.9002,5.94,5.94,5.9202,5.94,6.325,5.98,0,6.35050000000001,5.9202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",5.9,5.92,5.98,5.9002,5.96,5.94,6.35,5.9402,0,0,5.94040000000001,5.98,0,5.9002,5.88,5.96,5.9602,5.9202,5.94,5.94,6.325,5.9402,0,6.375,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
