"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,6.76666666666667,6.125,6.70033333333334,6.175,6.7,0,0,6.12525000000001,0,6.17550000000001,6.73333333333333,6.2,6.2,6.7,6.2,6.175,6.2,0,6.73333333333333,8.05,8.15050000000001,0,6.10025000000001,6.83333333333333,8.1,6.15,6.7,6.175,10,10,6.70033333333334,8,10,8.15050000000001,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",6.73333333333333,0,6.70033333333334,8.00050000000001,6.66666666666667,8.05050000000001,0,0,6.66700000000001,0,6.66700000000001,8.15050000000001,6.73333333333333,6.7,6.66666666666667,6.76666666666667,6.73333333333333,6.66666666666667,0,8.10050000000001,8.05,10,0,6.73333333333333,8.20050000000001,10,6.66666666666667,8.1,6.66666666666667,10,0,8.05,8.05050000000001,10,8.10050000000001,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",6.1,6.66700000000001,0,6.075,5.6,6.66666666666667,10,0,5.6,0,5.58,6.15,5.58,5.6,6.075,5.6,5.6002,5.6202,0,6.10025000000001,6.66666666666667,6.66666666666667,0,5.6,6.12525000000001,6.73333333333333,5.6002,6.125,5.64,8.1,10,6.225,8,8,8.25,8.15150000000003,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",6.66666666666667,8.15,6.075,0,6.075,6.66700000000001,10,0,6.07525000000001,0,6.05025000000001,6.66666666666667,6.1,6.05,6.66666666666667,6.05025000000001,6.075,6.12525000000001,0,6.73333333333333,8,6.73333333333333,0,6.05025000000001,6.7,8.2,6.075,6.66700000000001,6.1,8,10,6.76666666666667,8.1,8.1,10,8.1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",6.2,6.7,5.6,6.05050000000001,0,6.76666666666667,10,0,5.6,0,5.64,6.15,5.62,5.6202,6.15,5.6202,5.6,5.62,0,6.15025000000001,6.66666666666667,6.76666666666667,0,5.6,6.10025000000001,6.7,5.6,6.05,5.6402,8.05,10,6.10025000000001,8.25,8.15,8.2,8.05,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",6.73333333333333,8.05050000000001,6.7,6.66666666666667,6.73333333333333,0,0,0,6.73333333333333,0,6.7,8.15050000000001,6.7,6.76666666666667,8.05,6.73333333333333,6.73333333333333,6.66666666666667,0,8.2,10,8.20050000000001,0,6.70033333333334,8.15,10,6.73333333333333,8.1,6.66666666666667,10,10,8.2,8,10,10,8.05,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",0,0,10,10,10,0,0,0,10,0,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",6.225,6.8,5.64,6.07525000000001,5.64,6.66666666666667,10,0,0,0,5.5802,6.1,5.6202,5.62,6.1,5.66,5.56,5.58,0,6.2,6.66666666666667,6.76666666666667,0,5.62,6.175,6.73333333333333,5.6,6.075,5.64,8,10,6.075,8.1,8.1,8.2,8.05,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
