"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,4.28333333333333,4.20625,4.05375,4.17666666666667,4.03625,0,0,4.1575,4.96,4.175,4.37666666666667,4.28125,4.1875,4.445,4.24,4.20625,4.0825,0,4.2075,4.2875,4.77833333333333,0,4.0875,4.61333333333333,3.93,4.33625,4.135,4.1325,7.33,4.16,4.61666666666667,3.98625,4.0375,0,4.41,4.315,4.34166666666667,4.6725,4.915,4.9075,4.8125,7.43,6.81,0,0,0,0,0,0,0,0,0,0
"Finland",4.77333333333333,0,4.475,4.41833333333333,4.66,4.47333333333333,0,0,4.30833333333333,4.8525,5,4.6025,4.18166666666667,4.51166666666667,4.61333333333333,4.905,4.545,4.21,0,4.57666666666667,4.07666666666667,4.41,0,4.41666666666667,5.11,4.31333333333333,4.31166666666667,4.54,4.54333333333333,7.415,4.28,4.755,4.645,4.90833333333333,0,4.64666666666667,4.61166666666667,4.9675,4.7075,4.755,5.255,4.755,7.32,7.115,0,0,0,0,0,0,0,0,0,0
"France",4.115,4.50833333333333,0,3.908,3.9575,3.933,0,0,3.909,4.8525,4.0625,4.13875,3.963,3.949,4.34333333333333,4.385,3.769,3.89,0,4.11,3.904,4.33625,0,3.98125,4.1075,3.892,4.109,3.935,4.163,7.6,4.106,4.4775,4.18375,4.184,0,4.64333333333333,4.105,4.37833333333333,4.905,4.7125,4.665,4.81,7.23,7.125,0,0,0,0,0,0,0,0,0,0
"Germany",4.2025,4.61,3.907,0,3.98625,3.986,0,0,3.968,5.155,4.1575,4.205,4.066,3.847,4.37833333333333,4.28375,3.826,4.072,0,4.00875,3.807,4.26375,0,4.115,4.05625,4.305,3.889,4.107,4.145,7.13,3.866,4.255,4.28375,4.07,0,4.345,4.1575,4.445,5.0025,4.8025,5.0025,4.8575,6.92,7.81,0,0,0,0,0,0,0,0,0,0
"Ireland",4.41166666666667,5.06,4.1575,4.1075,0,4.2025,0,0,4.1575,5.015,4.13375,4.08,4.35625,4.1575,4.7675,4.16125,4.285,4.21375,0,4.21666666666667,4.23375,4.40833333333333,0,4.24166666666667,4.14125,4.05625,4.06375,4.23375,4.355,7.225,3.8175,4.21,4.34166666666667,4.18,0,4.7525,4.575,4.275,4.7025,4.8675,5.0625,4.805,7.23,6.93,0,0,0,0,0,0,0,0,0,0
"Israel",3.91125,4.41166666666667,3.833,3.825,4.16,0,0,0,3.829,5.005,4.36125,4.135,3.949,3.988,4.25,4.16125,3.908,4.051,0,4.205,3.953,4.255,0,4.26,4.01,4.01,3.967,3.866,3.945,7.13,3.909,4.285,4.23375,4.049,0,4.25166666666667,4.25625,4.41666666666667,5.0075,4.8075,4.66,4.56,7.025,7.225,0,0,0,0,0,0,0,0,0,0
"Italy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",4.18125,4.50666666666667,3.728,3.969,4.41125,4.067,0,0,0,4.8575,4.19125,4.20625,3.767,4.104,4.27666666666667,4.08,3.909,3.95,0,4.06375,3.889,4.3075,0,3.83375,4.33375,3.91,3.932,4.188,3.906,7.915,3.85,4.26125,4.055,3.827,0,4.55333333333333,4.40875,4.575,4.9575,4.665,4.905,4.76,7.12,7.415,0,0,0,0,0,0,0,0,0,0
"Monaco",5.01,4.865,5.0025,5.015,5.06,4.5625,0,0,4.9775,0,5.015,4.9625,4.76,4.85,5.0025,4.8525,4.77,4.76,0,4.9125,4.8125,5.0575,0,4.76,4.71,4.955,4.81,4.7675,4.96,7.325,4.955,5.005,5.005,4.46,0,4.8675,4.6575,4.7575,5.0125,4.7125,5.1175,5.01,7.225,7.52,0,0,0,0,0,0,0,0,0,0
