"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,4.4202,4.3802,4.4,4.44,4.3602,0,0,4.44,10,4.4202,4.4,4.3802,4.44,4.46,4.42,4.42,4.4402,0,10,4.3802,4.48,0,4.4,4.3802,4.44,4.44,4.42,4.4,5.53333333333333,4.38,4.4802,4.42,4.4,6.85,4.4,4.4,4.46,4.44,0,4.95,4.42,4.42,4.44,4.46,5.66666666666667,4.9,5.6,5.63333333333333,5.66666666666667,10,0,0,0
"Finland",4.42,0,4.46,4.42,4.44,4.44,0,0,4.42,10,4.42,4.38,4.4402,4.4602,4.4,4.4,4.44,4.4602,0,10,4.44,4.4002,0,4.42,4.4402,4.48,4.42,4.4202,4.4,5.63333333333333,4.38,4.42,4.3802,4.44,6.7,4.4,4.38,4.4,4.46,0,4.87525000000001,4.4002,4.46,4.4,4.42,5.66666666666667,4.95,5.63333333333333,5.63333333333333,5.63333333333333,10,0,0,0
"France",4.4,4.4,0,4.4,4.4,4.46,0,0,4.3802,10,4.42,4.46,4.46,4.46,4.4202,4.42,4.42,4.42,0,10,4.3802,4.4002,0,4.44,4.4002,4.44040000000001,4.46,4.4202,4.44,5.6,4.4002,4.44,4.42,4.46,6.90100000000002,4.4202,4.42,4.4,4.4202,0,4.925,4.42,4.42060000000001,4.4202,4.44,5.7,4.925,5.56666666666667,5.56700000000001,5.66666666666667,10,0,0,0
"Germany",4.46,4.48,4.4,0,4.4202,4.4202,0,0,4.46040000000001,10,4.44,4.5,4.52,4.44,4.46,4.44,4.3802,4.44040000000001,0,10,4.42,4.38,0,4.42,4.4402,4.42,4.44,4.44,4.42,5.60033333333334,4.4202,4.4002,4.42,4.46,6.95,4.4,4.44,4.44,4.4,0,4.9,4.4402,4.4402,4.4,4.4202,5.6,4.90050000000001,5.6,5.66666666666667,5.66666666666667,10,0,0,0
"Ireland",4.40040000000001,4.44,4.42,4.44,0,4.46,0,0,4.4002,10,4.46,4.42,4.44,4.42,4.5,4.4002,4.38,4.4402,0,10,4.38,4.4002,0,4.44,4.4402,4.4,4.4202,4.44,4.44,5.6,4.46,4.42,4.44,4.4202,6.85,4.44,4.4402,4.46,4.4202,0,4.90025000000001,4.46040000000001,4.4,4.42,4.4,5.63333333333333,4.95025000000001,5.50033333333334,5.56666666666667,5.7,10,0,0,0
"Israel",4.42,4.44040000000001,4.42,4.4,4.48,0,0,0,4.42,10,4.4002,4.42,4.4802,4.42,4.44,4.44,4.42,4.4002,0,10,4.4,4.42,0,4.42,4.44,4.4202,4.42,4.42,4.42,5.53400000000001,4.38,4.4202,4.4,4.4,6.95,4.4,4.42,4.46,4.44,0,4.9,4.4002,4.5002,4.42,4.44,5.63333333333333,4.82525000000001,5.56766666666669,5.56700000000001,5.7,10,0,0,0
"Italy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",4.44,4.44,4.48,4.44,4.42,4.4,0,0,0,10,4.42,4.40040000000001,4.42,4.4,4.42,4.44,4.42,4.42,0,10,4.42,4.44,0,4.44,4.42,4.48,4.44,4.3802,4.46,5.6,4.4002,4.46,4.42,4.4,6.80050000000001,4.44,4.42,4.4202,4.46,0,4.9,4.46,4.46,4.4,4.4002,5.66666666666667,4.9,5.66666666666667,5.6,5.66666666666667,10,0,0,0
"Monaco",10,10,10,10,10,10,0,0,10,0,10,10,10,10,10,10,10,10,0,0,10,10,0,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0
"Norway",4.42,4.4,4.44,4.4202,4.4202,4.44,0,0,4.42,10,0,4.42,4.48,4.46,4.46,4.4402,4.4402,4.46,0,10,4.46,4.42,0,4.42,4.40040000000001,4.4002,4.4202,4.4002,4.4002,5.66666666666667,4.4202,4.4,4.44,4.42040000000001,6.95050000000001,4.3802,4.42,4.42,4.4202,0,4.90025000000001,4.42,4.4202,4.44,4.44,5.63333333333333,4.95025000000001,5.63366666666667,5.60033333333334,5.63366666666667,10,0,0,0
"Portugal",4.40040000000001,4.4,4.4402,4.4,4.42,4.48,0,0,4.4202,10,4.4402,0,4.4402,4.44,4.42,4.38,4.46,4.4002,0,10,4.46,4.42,0,4.44,4.42,4.40040000000001,4.46,4.4,4.46,5.66666666666667,4.5,4.4002,4.4202,4.44,6.9,4.46,4.42,4.4402,4.44,0,4.90025000000001,4.4,4.40040000000001,4.44,4.4402,5.66666666666667,4.9,5.63333333333333,5.56666666666667,5.63333333333333,10,0,0,0
"Spain",4.44,4.42,4.4202,4.44,4.44,4.4002,0,0,4.42040000000001,10,4.44,4.42,0,4.44,4.4,4.48,4.42,4.44,0,10,4.46,4.46,0,4.46,4.42,4.46,4.42,4.4,4.36,5.6,4.40040000000001,4.4,4.42,4.44,7,4.4002,4.44,4.42,4.4002,0,4.875,4.42,4.42,4.4,4.3802,5.66666666666667,4.95025000000001,5.63333333333333,5.53400000000001,5.63333333333333,10,0,0,0
