"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The.Netherlands","Turkey","United.Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia...Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R..Macedonia","Latvia","Ukraine","Albania","Serbia...Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech.Republic","Montenegro","Azerbaijan","San.Marino","Australia","Macedonia","Netherlands"
"Turkey",0.0172922916666652,0.0259259259259259,0,0,0.0111111111111111,0.0145833333333333,0.0197530864197531,0.0258529629629614,0.0111111111111111,0,0,0.00625,0.014486736111109,0.014486736111109,0.0308641975308641,0.0444444444444444,0,0.0061256249999973,0.0444444444444444,0.0111111111111111,0,0.0061256249999973,0,0.0143899999999958,0,0.0444444444444444,0.0666666666666667,0.0694444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",0.0166666666666667,0.0145833333333333,0.00400000000000001,0.00400000000000001,0.00709373333333297,0.00625,0.0259259259259259,0.0197530864197531,0.00711111111111112,0,0.00709373333333297,0.00711111111111112,0.00400000000000001,0.00930706666666611,0.0166666666666667,0,0.00625,0,0.0444444444444444,0.00933333333333335,0.0106315111111104,0.00625,0,0.00399151111111094,0.0110670666666657,0.011087530864197,0.0197530864197531,0.0580044444444374,0,0.025,0,0.0666666666666667,0,0.044335833333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",0.0583333333333333,0.0688933333333214,0,0.025,0.0444444444444444,0.025,0.0444444444444444,0.0663358333333262,0.0583333333333333,0,0.0666666666666667,0.025,0.025,0.0583333333333333,0,0,0.0579469444444361,0.025,0,0.025,0.0444444444444444,0.0444444444444444,0,0.0583333333333333,0.0663358333333262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austria",0.0111111111111111,0.014486736111109,0.00399151111111094,0.00933333333333335,0,0.00625,0.0296296296296296,0.0259259259259259,0.0106666666666667,0,0.00930706666666611,0.0110670666666657,0.00711111111111112,0.00711111111111112,0.0166666666666667,0.0111111111111111,0,0.00400000000000001,0.0664469444444397,0,0.010560933333331,0.0143899999999958,0,0.00711111111111112,0.00933333333333335,0,0.0111111111111111,0.0583333333333333,0,0.0583333333333333,0,0.0666666666666667,0,0.0583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",0.0111111111111111,0.0173611111111111,0.00933333333333335,0.00711111111111112,0.0106315111111104,0,0.0257797530864166,0.0197530864197531,0.00711111111111112,0,0.00930706666666611,0.00933333333333335,0.00933333333333335,0.00933333333333335,0.0173611111111111,0,0.0111111111111111,0.00709373333333297,0.0444444444444444,0.00933333333333335,0,0,0,0.00933333333333335,0.00399151111111094,0,0.0259259259259259,0.0444444444444444,0,0.0249469444444433,0,0.0666666666666667,0,0.0444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denmark",0.00625,0.0197530864197531,0.00625,0.0110006249999976,0.0110006249999976,0.0111111111111111,0.0259259259259259,0.0296296296296296,0.0110006249999976,0,0.0146256250000009,0.0111395138888895,0.0138888888888889,0.0110006249999976,0.0258529629629614,0.044335833333331,0.0110006249999976,0.0111395138888895,0.025,0.0110006249999976,0.00625,0,0,0.0110006249999976,0.00625,0.0581691666666631,0.0691691666666607,0.044335833333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",0.0145833333333333,0.0172233333333303,0.0106666666666667,0.0111111111111111,0.00933333333333335,0.0110006249999976,0.0307418518518492,0.0308641975308641,0.00400000000000001,0,0.00711111111111112,0.00933333333333335,0.00711111111111112,0.00400000000000001,0.0166666666666667,1.11111111115942e-06,0.00625,0.00711111111111112,0.0579469444444361,0.00399151111111094,0.00711111111111112,0.0111111111111111,0,0,0.00933333333333335,0,0,0.0249469444444433,0,0.0583333333333333,0,0.0666666666666667,0,0.0583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iceland",0.0111111111111111,0.0173611111111111,0.00933333333333335,0.00711111111111112,0.0111111111111111,0.0145833333333333,0.0258529629629614,0.0259259259259259,0.00711111111111112,0,0.00400000000000001,0.00711111111111112,0.0111111111111111,0.00933333333333335,0.014486736111109,0,0.0111395138888895,0.00711111111111112,0.0583333333333333,0.00709373333333297,0.00709373333333297,0.0145833333333333,0,0.0105962666666651,0,0,0.0111111111111111,0.0444444444444444,0,0.0444444444444444,0,0.0444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosnia & Herzegovina",0.0583333333333333,0.025,0,0,0.0111111111111111,0.0444444444444444,0,0,0.0111111111111111,0,0,0.0111111111111111,0,0,0,0.0249469444444433,0.0583333333333333,0,0,0.0197530864197531,0,0.0666666666666667,0,0.011087530864197,1.11111111115942e-06,0,0.0197530864197531,0.0581691666666631,0,0.0581691666666631,0,0.0249469444444433,0,0.0583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia",0.0583333333333333,0.025,0.0259259259259259,0.0111111111111111,0.0111111111111111,0.0666666666666667,0,0,0.0111111111111111,0,0,0.0111111111111111,0,0,0,0,0.0249469444444433,0.0111111111111111,0,0,0.0111111111111111,0.0444444444444444,0,0.0111111111111111,0.0111111111111111,0,0,0.0444444444444444,0,0.0666666666666667,0,0.0583333333333333,0,0.0583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
