"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,4.44,4.42,4.46,4.44,4.42,4.4402,0,4.42,0,4.4,5,4.42,4.46,4.4002,4.925,6.60050000000001,4.44,0,4.46040000000001,4.46,4.44,0,4.95,4.4202,6.75,5.63333333333333,4.42,4.4002,4.3802,4.4,5.66666666666667,4.44,4.42,6.65050000000001,5,4.4602,4.95,4.44,0,0,4.44,4.42,5.63333333333333,4.92525000000001,4.48,4.825,10,5,4.4602,4.44,10,10,10
"Finland",4.4202,0,4.46,4.44,4.44,4.44,4.4,0,4.44,0,4.4,4.925,4.46,4.4202,4.42,5,6.55100000000002,4.42,0,4.40060000000001,4.4602,4.44040000000001,0,4.92525000000001,4.44,6.8,5.66666666666667,4.4002,4.44,4.46,4.48,5.66666666666667,4.4402,4.44,6.75,4.925,4.38,4.95,4.4,0,0,4.44,4.44,5.66666666666667,4.95,4.42,4.925,10,4.975,4.46,4.46,10,10,10
"France",4.4202,4.4,0,4.46,4.4402,4.46,4.4202,0,4.4,0,4.42,4.95,4.4402,4.46,4.4402,4.95025000000001,6.7,4.46,0,4.4202,4.42,4.42,0,4.92525000000001,4.4,6.60100000000002,5.66666666666667,4.42,4.42,4.4802,4.46,5.66666666666667,4.4202,4.4402,6.85050000000001,4.95,4.44,4.975,4.42,0,0,4.44,4.46,5.66666666666667,4.975,4.44,4.9,10,4.975,4.38,4.44,10,10,10
"Germany",4.4202,4.4602,4.46,0,4.42,4.44,4.44,0,4.44,0,4.44,4.975,4.42040000000001,4.44,4.44,5,6.7,4.46,0,4.44,4.44,4.48,0,4.85,4.44,6.6,5.66700000000001,4.4,4.42,4.44,4.3802,5.66666666666667,4.44,4.5,6.80050000000001,4.975,4.44,5,4.42,0,0,4.42,4.40080000000002,5.66666666666667,4.95,4.44,4.87550000000001,10,4.975,4.4002,4.44,10,10,10
"Ireland",4.4,4.38,4.44,4.42,0,4.42,4.44,0,4.42,0,4.44,5,4.4,4.46,4.44040000000001,4.975,6.75,4.46,0,4.4002,4.42,4.4202,0,4.975,4.44,6.7,5.66666666666667,4.42,4.42,4.4,4.42,5.66666666666667,4.4402,4.4202,6.70050000000001,4.95,4.44,5,4.48,0,0,4.4602,4.46,5.66666666666667,4.975,4.42,4.825,10,4.975,4.44,4.44040000000001,10,10,10
"Israel",4.42,4.4602,4.46,4.40040000000001,4.38,0,4.42,0,4.46,0,4.4602,4.95,4.44,4.44,4.4,4.97525000000001,6.8,4.4202,0,4.38060000000001,4.38,4.5002,0,4.925,4.4402,6.8,5.63333333333333,4.4,4.4,4.44,4.46,5.66666666666667,4.42040000000001,4.44,6.75050000000001,4.95,4.4002,5,4.48,0,0,4.4,4.42,5.56666666666667,4.97525000000001,4.4802,4.90025000000001,10,4.975,4.46,4.38,10,10,10
"Italy",4.48,4.4802,4.4,4.44,4.4,4.46,0,0,4.42,0,4.4402,5,4.46,4.42,4.42,4.97525000000001,6.85,4.4,0,4.42,4.44,4.42040000000001,0,4.90025000000001,4.46,6.7,5.66666666666667,4.42,4.48,4.42,4.42,5.66666666666667,4.44,4.4402,6.70050000000001,5,4.44,4.975,4.42,0,0,4.44,4.3802,5.6,5,4.4002,4.85,10,4.975,4.4202,4.42,10,10,10
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",4.4402,4.42,4.4202,4.4002,4.42,4.44,4.46,0,0,0,4.4,4.925,4.4202,4.44,4.42,4.95,6.7,4.46040000000001,0,4.42,4.4602,4.4402,0,4.87525000000001,4.4402,6.7,5.66666666666667,4.44,4.4602,4.38040000000001,4.42,5.63333333333333,4.44,4.44,6.75,4.975,4.4,4.95,4.42,0,0,4.4602,4.42,5.63333333333333,5,4.4,4.875,10,4.975,4.4202,4.46,10,10,10
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norway",4.42,4.4,4.4202,4.4802,4.42,4.46,4.4,0,4.4402,0,0,4.975,4.4,4.42,4.46,4.975,6.8,4.46,0,4.42,4.4,4.44,0,4.85025000000001,4.42,6.7,5.63333333333333,4.4,4.44,4.42,4.3802,5.66666666666667,4.44,4.4602,6.75,4.925,4.42,5,4.4,0,0,4.46,4.4202,5.66666666666667,4.975,4.44,4.9,10,4.975,4.4,4.44,10,10,10
"Portugal",4.975,4.975,4.97525000000001,4.975,4.925,4.87525000000001,4.90050000000001,0,4.87525000000001,0,4.95,0,4.975,4.95,4.92525000000001,5.7,6.6,4.92525000000001,0,4.975,4.975,4.9,0,5.63333333333333,4.95,6.85,6.7,4.90025000000001,4.875,4.92525000000001,4.95,5.66666666666667,4.95050000000001,4.975,6.65,5.7,4.87550000000001,5.63366666666667,4.9,0,0,4.87525000000001,4.975,6.7,5.66666666666667,4.975,5.63333333333333,10,5.66700000000001,5,4.95025000000001,10,10,10
"Spain",4.4602,4.5,4.42,4.4,4.4602,4.4,4.4202,0,4.4,0,4.4402,4.975,0,4.4,4.48,4.925,6.75,4.4002,0,4.44,4.42,4.42,0,4.925,4.5,6.65,5.66666666666667,4.4,4.4,4.46,4.42,5.66666666666667,4.42,4.44,6.75,5,4.48,4.975,4.44,0,0,4.44,4.44,5.7,4.925,4.4402,4.95,10,4.975,4.4,4.42040000000001,10,10,10
"Sweden",4.44,4.4,4.46,4.4202,4.46,4.42,4.42,0,4.4602,0,4.42,4.95,4.42,0,4.46,5,6.7,4.4602,0,4.5,4.42,4.44,0,4.875,4.44,6.80050000000001,5.63366666666667,4.42,4.44,4.4202,4.4,5.66700000000001,4.44,4.4402,6.7,5,4.42,5,4.48,0,0,4.4602,4.4,5.66666666666667,4.95,4.46,4.975,10,5,4.42,4.4,10,10,10
"Switzerland",4.4002,4.44,4.42,4.44,4.4402,4.44,4.4402,0,4.46,0,4.5,4.975,4.42,4.46,0,4.975,6.75,4.4,0,4.4202,4.42,4.48,0,4.875,4.48,6.65,5.66666666666667,4.44,4.44,4.42040000000001,4.48,5.66666666666667,4.42,4.46,6.65,5,4.4,5,4.4002,0,0,4.5,4.42,5.66666666666667,4.90050000000001,4.44,4.95025000000001,10,4.95,4.38040000000001,4.4402,10,10,10
"The Netherlands",4.4402,4.46,4.4602,4.4202,4.44,4.44,4.48,0,4.4,0,4.42,4.92525000000001,4.4,4.4402,4.44,0,6.75,4.46,0,4.44,4.4202,4.5002,0,4.87525000000001,4.42040000000001,6.60050000000001,5.56666666666667,4.46,4.44,4.44,4.48,5.66666666666667,4.40040000000001,4.46,6.60050000000001,5,4.42,4.97525000000001,4.44,0,0,4.46,4.44,5.66666666666667,5,4.46,4.92525000000001,10,4.97525000000001,4.4202,4.4202,10,10,10
"Turkey",6.80050000000001,6.65,6.7,6.85,6.65,6.75,6.55050000000001,0,6.7,0,6.65,6.80100000000002,6.70050000000001,6.70050000000001,6.9,6.75100000000002,0,6.85,0,6.80050000000001,6.65050000000001,6.85,0,6.65,6.7,6.7,6.65100000000002,6.65100000000002,6.7,6.65,6.60050000000001,10,6.55050000000001,6.65050000000001,6.5,6.85,6.8,6.70050000000001,6.75,0,0,6.75050000000001,6.75,6.65,10,6.75,6.70050000000001,0,10,6.65,6.70050000000001,0,0,0
