"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The.Netherlands","Turkey","United.Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia...Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R..Macedonia","Latvia","Ukraine","Albania","Serbia...Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech.Republic","Montenegro","Azerbaijan","San.Marino","Australia","Macedonia","Netherlands"
"Belgium",0,0,0.00625,0,0.0111111111111111,0.0201388888888889,0,0,0.0166117361111099,0.025,0,0,0,0.0145833333333333,0.0111111111111111,0,0.0111111111111111,0.00625,0,0.00622333333333278,0.0145833333333333,0,0,0.0138888888888889,0,6.25000000027285e-07,0.0111111111111111,0.00625,0,0,0.0110839583333328,0,0.0061256249999973,0,0,0,0.0111111111111111,0,0.0583333333333333,0.025,0.0444444444444444,0.0583333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0.0111111111111111,0,0.0111111111111111,0,0.0583333333333333,0,0,0,0.0111111111111111,0.025,0.0581691666666631,0.0444444444444444,0,0.0197530864197531,0,0.025,1.11111111115942e-06,0,0,0,0.0111111111111111,0,0,0.0111111111111111,0.0583333333333333,0,0,0,1.11111111115942e-06,0,1.11111111115942e-06,0.0583333333333333,0,1.11111111115942e-06,0,0,1.11111111115942e-06,0.0583333333333333,0.0583333333333333,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",0,0.0111111111111111,0,0.00400000000000001,0.0111111111111111,0.0088888888888889,0,0,0.00400000000000001,0.0583333333333333,0.0145833333333333,0,0.00400000000000001,0.00933333333333335,0,0.0111111111111111,0.00696959999999696,0.00399151111111094,0,0.0111111111111111,0.00704039999999849,0.0173611111111111,0,0.0145833333333333,6.25000000027285e-07,0,0.00400000000000001,0.00400000000000001,4.00000000017675e-07,0,0,0.00623673611111084,6.25000000027285e-07,0.00400000000000001,0,0,0.0172922916666652,0,0.0583333333333333,0,0,0.0249469444444433,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",0.00625,0,0,0,0.0111111111111111,0.00933333333333335,0,0,0.0128888888888889,0.025,0.00625,0.0145833333333333,0.00400000000000001,0.00400000000000001,0.0197530864197531,0.0111111111111111,0.00400000000000001,0.00400000000000001,0,0.0111111111111111,0,0.0166666666666667,0,0.00625,0.0110839583333328,0.00400000000000001,0.00400000000000001,0.0088888888888889,0.00400000000000001,0,0,0.0111111111111111,0.0111111111111111,0.0158584888888859,0,0,0.0166666666666667,0,0.055002499999988,0.0583333333333333,0.0444444444444444,0.0583333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",0,0.0444444444444444,6.25000000027285e-07,0.0145833333333333,0,0,0,0,0.00625,0.0444444444444444,0.0145422916666658,0,0.0145833333333333,0.0111111111111111,0.0583333333333333,0.00625,0.0166666666666667,0.0111111111111111,0,0,0.0145833333333333,0.0111111111111111,0,0,0.00625,0.0145833333333333,0.00622333333333278,0.0145833333333333,0.0111111111111111,0,0.0111111111111111,0.00625,0,1.11111111115962e-06,0,0.025,0.0111111111111111,0,0.025,0.0245024999999892,0.0583333333333333,0.025,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",0.00625,0,0.0088888888888889,0.00400000000000001,0.00623673611111084,0,0,0,0.00400000000000001,0.0583333333333333,0.0111111111111111,0.0111111111111111,0.00398293333333298,0,0.0197530864197531,0.0110566666666655,0,0.0088888888888889,0,0,0.0088888888888889,0.0166117361111099,0,0,0.00625,0.00400000000000001,4.00000000017675e-07,0.00400000000000001,0,0,0.0088888888888889,0.00625,0.0111111111111111,0,0,0,0.0165839583333315,0,0,0.0666666666666667,0.0444444444444444,0.025,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",0.0138888888888889,0,0.00400000000000001,0.00400000000000001,0.00623673611111084,0.0088888888888889,0,0,0,0,0.00625,0.0166666666666667,4.00000000017675e-07,0,0.0111111111111111,0.0111111111111111,0.016,0,0,0.00625,0.0088888888888889,0.0110839583333328,0,0.0138888888888889,0.00625,0,0.00392039999999829,0.00711111111111112,0.00400000000000001,0,0.00711111111111112,0.0138888888888889,0.0111111111111111,0,0,0,0.0166666666666667,0,0.025,0,0.0444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0.0444444444444444,0.0444444444444444,0.0694444444444444,0.025,0.0583333333333333,0,0,0.025,0,0.0444444444444444,0.025,0.0249469444444433,0,0.0444444444444444,0.0248933333333311,0.0694444444444444,2.50000000010914e-06,0,0,0.0666666666666667,0.0581691666666631,0,0.044335833333331,0.0583333333333333,0.0444444444444444,0.025,0.0444444444444444,0.044335833333331,0,0.0581691666666631,0.025,2.50000000010914e-06,0.025,0,0.0249469444444433,0.0444444444444444,0.0805555555555556,0.0666666666666667,0.0583333333333333,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0
"Norway",0.0111111111111111,0.0444444444444444,0.0145422916666658,0.00625,0.0166666666666667,0.013750624999997,0,0,0.0111111111111111,0.025,0,0.0248339583333297,0.0145833333333333,0.0111111111111111,0,0.0248339583333297,0.0145833333333333,0.00625,0,0,0,0.0258529629629614,0,0,0.0111111111111111,0.00625,0.00625,0.00625,0.0110839583333328,0,0.0111111111111111,0.00623673611111084,0.0111111111111111,0.0172922916666652,0,0,0,1.11111111115942e-06,0.025,0.0583333333333333,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0
