"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,4.86666666666667,4.85,4.86666666666667,4.88333333333333,5.18,4.86749999999999,4.9,10,5.16099999999999,4.9,4.85,4.90083333333332,5.1,4.91666666666667,4.88333333333333,5.86666666666667,4.85,7,5.14,5.14,5.93333333333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",4.91666666666667,0,4.86666666666667,4.9,4.86666666666667,5.18,4.85083333333332,4.86749999999999,10,5.16,4.88333333333333,4.86666666666667,4.88333333333333,5.14099999999999,4.88333333333333,4.9,5.96666666666667,4.88333333333333,7,5.2,5.16,5.9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",4.9,4.9,0,4.9,4.85,5.16,4.85,4.86666666666667,10,5.16199999999997,4.90083333333332,4.9,4.86666666666667,5.14,4.86666666666667,4.85083333333332,6,4.9,6.95,5.12,5.2,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",4.91666666666667,4.9,4.9,0,4.91666666666667,5.16,4.85083333333332,4.86666666666667,10,5.16,4.88333333333333,4.88333333333333,4.86833333333331,5.04,4.85,4.86666666666667,5.9,4.85083333333332,7,5.12,5.16,5.96666666666667,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",4.86666666666667,4.9,4.86666666666667,4.85,0,5.16,4.88333333333333,4.85,10,5.2,4.85,4.86666666666667,4.86749999999999,5.12,4.85,4.88333333333333,5.96666666666667,4.88333333333333,6.95,5.16,5.14,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",5.18,5.14,5.18,5.14,5.14,0,5.2,5.2,10,5.1,5.16,5.16,5.14099999999999,5.47624999999998,5.2,5.2,6.70249999999996,5.18,7,5.5,5.5,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",4.85,4.88333333333333,4.86666666666667,4.88333333333333,4.85,5.14,0,4.85,10,5.16,4.9,4.9,4.9,5.14,4.85,4.86666666666667,5.93499999999998,4.86666666666667,7,5.18,5.18,5.93333333333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",4.86666666666667,4.86666666666667,4.86666666666667,4.88333333333333,4.9,5.16,4.85,0,10,5.14099999999999,4.9,4.88333333333333,4.9,5.14,4.85,4.88416666666665,6,4.85,7,5.14,5.14,5.96666666666667,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",5.18,5.18,5.18,5.16099999999999,5.16,5.18,5.2,5.16,10,0,5.18,5.18,5.08,5.5,5.2,5.18,6.65,5.18,7,5.5,5.5,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norway",4.86666666666667,4.85,4.85,4.86666666666667,4.88333333333333,5.18,4.91666666666667,4.85,10,5.2,0,4.85,4.83333333333333,5.08,4.9,4.86749999999999,5.96666666666667,4.86666666666667,7,5.16,5.18,5.93499999999998,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",4.90083333333332,4.9,4.88333333333333,4.86666666666667,4.86749999999999,5.14,4.88333333333333,4.90083333333332,10,5.14,4.85,0,4.85,5.06,4.88333333333333,4.86749999999999,5.93333333333333,4.86666666666667,7,5.18,5.18,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
