"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,6.80050000000001,6.75050000000001,6.8,6.85,6.85,6.7,0,6.95050000000001,0,6.75,10,6.75050000000001,6.9,6.75,6.70100000000002,0,6.75050000000001,0,6.60050000000001,6.95,6.9,0,6.85,6.70050000000001,10,6.75,6.8,6.8,6.85,6.7,6.75,10,10,0,6.60050000000001,6.8,6.85050000000001,6.75,0,0,6.7,6.75050000000001,6.65100000000002,6.80050000000001,6.75,6.80050000000001,6.85050000000001,6.8,6.55,6.8,6.6,0,0
"Finland",6.90100000000002,0,6.8,6.80050000000001,6.7,6.6,6.75,0,6.75,0,6.85,10,6.85,6.65,6.65,6.8,0,6.85050000000001,0,6.8,6.8,6.75050000000001,0,6.8,6.8,10,6.9,6.7,6.6,6.8,6.75,6.7,10,10,0,6.75,6.75050000000001,6.85,6.85,0,0,6.65050000000001,6.9,6.65050000000001,6.65,6.70100000000002,6.70050000000001,6.8,6.75,6.85,6.60100000000002,6.70050000000001,0,0
"France",6.8,6.85,0,6.75050000000001,6.65100000000002,6.7,6.7,0,6.85,0,6.8,10,6.85,6.85050000000001,6.75050000000001,6.75,0,6.7,0,6.65050000000001,6.90050000000001,6.65,0,6.65,6.6,10,6.9,6.8,6.6,6.65100000000002,6.7,6.6,10,10,0,6.85050000000001,6.8,6.65050000000001,6.75,0,0,6.70050000000001,6.8,6.65,6.65,6.65,6.7,6.8,6.75050000000001,6.75050000000001,6.75,6.8,0,0
"Germany",6.9,6.8,6.8,0,6.80050000000001,6.85,6.70050000000001,0,6.7,0,6.7,10,6.75,6.95050000000001,6.7,6.90050000000001,0,6.70050000000001,0,6.70100000000002,6.75050000000001,6.60050000000001,0,6.7,6.70100000000002,10,6.75,6.9,6.90050000000001,6.7,6.85,6.80050000000001,10,10,0,6.75050000000001,6.6,6.85050000000001,6.75,0,0,6.75,6.9,6.70050000000001,6.85,6.85,6.75,6.85,6.7,6.75050000000001,6.85,6.75,0,0
"Ireland",6.9,6.80050000000001,6.9,6.7,0,6.65,6.70050000000001,0,6.7,0,6.75,10,6.75050000000001,6.80050000000001,6.75050000000001,6.85100000000002,0,6.9,0,6.60050000000001,6.7,6.65050000000001,0,6.75,6.75050000000001,10,6.7,6.75050000000001,6.75,6.70050000000001,6.75050000000001,6.80050000000001,10,10,0,6.7,6.75,6.70050000000001,6.7,0,0,6.80050000000001,6.65050000000001,6.75,6.70050000000001,6.7,6.8,6.75050000000001,6.85,6.9,6.95,6.65100000000002,0,0
"Israel",6.75050000000001,6.75050000000001,6.75,6.85,6.70050000000001,0,6.65,0,6.70050000000001,0,6.80050000000001,10,6.8,6.75,6.75,6.75050000000001,0,6.65,0,6.65050000000001,6.65,6.85,0,6.70050000000001,6.65050000000001,10,6.8,6.75100000000002,6.8,6.75,6.85,6.9,10,10,0,6.70050000000001,6.85,6.70050000000001,6.7,0,0,6.75,6.75,6.80050000000001,6.6,6.8,6.7,6.7,6.60050000000001,6.75050000000001,6.85,6.7,0,0
"Italy",6.85,6.85,6.70050000000001,6.75,6.8,6.6,0,0,6.70050000000001,0,6.75100000000002,10,6.75,6.75,6.65,6.8,0,6.85,0,6.7,6.75,6.70050000000001,0,6.70050000000001,6.75,10,6.85100000000002,6.70050000000001,6.85,6.75050000000001,6.8,6.80050000000001,10,10,0,6.85,6.65050000000001,6.85,6.80050000000001,0,0,6.6,6.65,6.70050000000001,6.75,6.75,6.85,6.75,6.75050000000001,6.7,6.6,6.65050000000001,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",6.75100000000002,6.8,6.60050000000001,6.8,6.75050000000001,6.65,6.65,0,0,0,6.75,10,6.75,6.7,6.90050000000001,6.85,0,6.75,0,6.7,6.8,6.9,0,6.85050000000001,6.80050000000001,10,6.80050000000001,6.85,6.75050000000001,6.85,6.8,6.8,10,10,0,6.70100000000002,6.80050000000001,6.85050000000001,6.8,0,0,6.8,6.75050000000001,6.85,6.90050000000001,6.9,6.70050000000001,6.85,6.75,6.70100000000002,6.7,6.8,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
