"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,5.25,4.5675,4.8325,4.7325,4.70875,5.175,4.845,4.81625,0,4.91,4.6125,4.8075,4.9625,5.28,5.7075,4.8275,4.7625,5.5675,4.96,4.6825,4.6075,0,4.8825,4.71125,5.8625,5.5625,5.6225,0,8.12,0,8.705,0,7.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",5.215,0,4.50375,4.685,4.73375,5.10666666666667,5.04166666666667,5.51,4.60625,0,4.78,4.82875,4.56,5.00375,4.6325,5.08166666666667,5.44166666666667,4.73375,6.07,4.68875,4.78625,5.14166666666667,0,4.7075,4.61125,5.91,5.705,8.715,8.905,8.51,8.515,8.13,8.71,8.42,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",4.505,4.70625,0,4.486,4.428,4.6825,5.01,5.08,4.467,0,4.532,4.509,4.371,4.445,4.6575,5.01666666666667,4.85625,4.406,6.32,4.388,4.427,4.71,0,4.391,4.49,5.175,5.145,5.785,8.505,6.32,8.52,5.76,7.835,5.9125,8.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",4.6375,4.68375,4.383,0,4.49,4.935,5.245,5.00833333333333,4.287,0,4.508,4.333,4.35,4.308,4.73625,4.97666666666667,4.62875,4.462,5.86,4.685,4.403,4.71375,0,4.33,4.549,5.04166666666667,5.21,6.4175,9.01,5.765,8.11,5.72,8.035,5.62,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",4.83625,4.915,4.329,4.471,0,4.54,5.01166666666667,5.14166666666667,4.507,0,4.511,4.288,4.67,4.286,4.83375,5.08,4.7375,4.267,6.3725,4.348,4.506,4.91375,0,4.408,4.547,5.115,5.14166666666667,6.1225,7.84,6.2075,8.02,5.7175,8.235,5.67,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",5.06125,5.21333333333333,4.8025,4.88375,4.8075,0,5.37666666666667,5.17333333333333,4.835,0,4.69375,4.78625,4.685,4.86125,5.275,5.9725,4.78875,4.6875,6.1675,4.85875,4.86125,4.735,0,4.7775,4.75875,5.82,5.92,6.08,0,8.61,0,8.63,0,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",5.20833333333333,5.475,5.21333333333333,5.38666666666667,5.23833333333333,5.20833333333333,0,5.24,5.17333333333333,0,5.11,5.11333333333333,5.05166666666667,5.24333333333333,5.47833333333333,5.715,5.11,5.405,5.855,5.37333333333333,5.34166666666667,5.31,0,5.10666666666667,5.37833333333333,8.41,8.41,8.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",5.31166666666667,5.505,5.345,5.24333333333333,5.27333333333333,5.34333333333333,5.21333333333333,0,5.275,0,5.35,5.345,5.27833333333333,5.18,5.24333333333333,6.0175,5.20166666666667,5.20833333333333,6.0125,5.375,5.145,4.97666666666667,0,5.37166666666667,5.00666666666667,8.145,8.31,8.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",4.7125,4.66375,4.506,4.626,4.268,4.61,5.30833333333333,5.37333333333333,0,0,4.529,4.39,4.472,4.334,4.7325,5.15,4.83375,4.288,5.8225,4.466,4.409,4.83375,0,4.565,4.371,5.04166666666667,5.015,5.91,8.115,5.53,8.735,6.205,8.225,6.01,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
