"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,6.66666666666667,6,5,6,5.38249999999999,0,0,5,7,5.33333333333333,6,4.875,5.25,5.54666666666666,6,5.75,5.5,0,5.75,6.11500000000001,6.66666666666667,0,5.28,6,5.25,5.61500000000001,5.3075,5.70249999999999,10,5.62,6,5.25,4.86250000000001,0,6,6,5.66666666666667,7,7,7.5,7,10,10,0,0,0,0,0,0,0,0,0,0
"Finland",5.91333333333334,0,6,5.66666666666667,7.5,6,0,0,6.12666666666663,7,6.5,7,5.27333333333333,6.22,6,6.5,5.62,5.84666666666666,0,6.21,6,6.73333333333333,0,5.33333333333333,7,6.66666666666667,6.03666666666667,6,7,10,6,7,5.58,6.66666666666667,0,6,5.47999999999998,6.5,7,8,7,6.60000000000002,10,10,0,0,0,0,0,0,0,0,0,0
"France",5.75,5.66666666666667,0,6,5.47000000000003,5.4,0,0,5.2,7.38499999999999,5,5,4.8,5.6,6.66666666666667,5.56,5.26800000000001,5.102,0,5.04499999999999,4.972,5.75,0,5.5,4.94999999999999,4.8,5,5.2,5.13599999999999,10,5.16199999999999,5.5,5.5,5.2,0,6,5.38499999999999,6,7.5,7,7.5,7,10,10,0,0,0,0,0,0,0,0,0,0
"Germany",5.5,6.33333333333333,5,0,5.5,5.2,0,0,5.4,6.5,5.44750000000001,5.5,5.034,4.69000000000001,6.46666666666666,5.75,5.15599999999999,5.33,0,5.25749999999999,4.8,5.405,0,5.3725,5.75,5.19000000000001,5.2,5.2,5.23199999999999,10,5.33599999999999,5.75,6.19499999999999,4.654,0,6.24000000000001,5.5,6.05999999999998,7,7,7.12,7.02499999999998,10,10,0,0,0,0,0,0,0,0,0,0
"Ireland",6,7,5,5.75,0,5.75,0,0,5.6875,7.375,5.75,5.155,5.64,5.5,7,5,5,5.5,0,5.79999999999999,6.25,6.58666666666666,0,5.83999999999999,5.75,5.5,5.5,5.155,5.42500000000001,10,5,5.4075,6,5.55249999999999,0,7.5,6,5.66666666666667,6.5,8,6.92499999999995,7.5,10,10,0,0,0,0,0,0,0,0,0,0
"Israel",5.25,5.48999999999999,5.15599999999999,5.06400000000001,5.25,0,0,0,5.548,7,5.49000000000001,5.30499999999999,5.17,5.08399999999999,5.31999999999999,5.25,5,5.51000000000001,0,5.75,4.95,5.5,0,5.25,5.35999999999999,4.59399999999999,5.4,5.248,5.122,10,5.446,5.93000000000001,5.3775,5.346,0,6,5,6,7,6.5,6.5,7,10,10,0,0,0,0,0,0,0,0,0,0
"Italy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",5.75,6.33333333333333,5.376,5,5.46999999999997,5.2,0,0,0,7.77499999999998,5.52000000000001,6.11500000000001,4.8,4.896,6,5.5,5.4,5,0,5.25,5.25,5.25,0,6,5.75,4.8,5.3,5.2,5.26799999999998,10,4.86800000000001,6.3,5.75,5.2,0,5.66666666666667,5,5.68333333333332,7.5,6.5,7,7.5,10,10,0,0,0,0,0,0,0,0,0,0
"Monaco",7,6.5,7,7,7,7.5,0,0,7,0,7.46500000000003,6.69500000000005,7,7,7.5,7.5,7,6.5,0,7,6.5,6.5,0,6.5,7,6.5,7,7.5,7.245,10,7,7,7.5,7,0,7,7,6.5,6.50999999999999,7,7,7.5,10,10,0,0,0,0,0,0,0,0,0,0
