"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,6.13199999999999,6.5,6.2,6.50749999999999,6.75,7.33333333333333,6.45999999999999,0,0,6,6.45999999999999,6.2,6.2,6.4,6.75,6.2,6.6,7.25,6.2,6.83,6.2,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",6.19000000000001,0,6.75,5.8,6.79750000000001,6.5,7.33333333333333,6,0,0,6.352,6,6,6.4,6.34200000000001,6.38,6.2,6.2,6.96250000000006,6.4,6.90000000000002,6.2,0,6.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",6.7525,6.97999999999999,0,6.75,7.39666666666669,7,7,6.75,0,0,6.5,6.75,6,6.5,6.5,7,6.75,7,7.38333333333336,6.25,7,6.4325,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",6.34000000000001,5.6,7,0,6.75,6.48500000000001,7.33333333333333,6.05999999999999,0,0,6.4,6.2,6.4,6.096,6,6.75,6.2,6.6,6.5,6.00599999999999,7,6.21400000000001,0,6.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",6.5,6.5,7.17666666666666,6.75,0,7.33333333333333,8.5,6.5,0,0,6.4725,6.75,7.10999999999999,7,6.76999999999998,8,6.5,7,7.33333333333333,6.5,8.5,6.78499999999997,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",6.75,6.56,7,6.5,7.66666666666667,0,9,6.5,0,0,6.75,7,6.5,6.75,6.75,7.03666666666663,6.96000000000001,6.75,7.23666666666668,6.5,7.22333333333336,6.7775,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",6.66666666666667,7,6.66666666666667,7.33333333333333,9,9,0,7,0,0,7.41000000000001,7,7,7.14666666666668,7.32333333333334,9,7.33333333333333,7.33333333333333,8.5,7,8.53499999999997,7,0,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",6.4,6,6.49000000000001,5.8,6.75,6.75,7.66666666666667,0,0,0,6.2,6,6.598,5.8,6.594,6.75,5.85799999999999,6.07199999999998,6.75,6,6.66666666666667,6.2,0,6.19400000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
