"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,4.8,4.8,4.8,4.8,4.8,5.025,4.8,0,0,4.78,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.76099999999999,4.78,5,4.8,0,5,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",4.8,0,4.8,4.78,4.8,4.8,5,4.8,0,0,4.78,4.8,4.8,4.8,4.8,4.78099999999999,4.78,4.8,4.8,4.8,5,4.8,0,5.075,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",4.8,4.8,0,4.8,4.78,4.8,5,4.8,0,0,4.8,4.8,4.8,4.8,4.8,4.78,4.8,4.78,4.78,4.8,5.025,4.8,0,5,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",4.8,4.8,4.78,0,4.8,4.78,5,4.8,0,0,4.78,4.8,4.8,4.8,4.78,4.8,4.8,4.8,4.8,4.8,5,4.8,0,5,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",4.78,4.8,4.8,4.8,0,4.8,5,4.8,0,0,4.78,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.78,4.8,5,4.78,0,5,4.78099999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",4.8,4.8,4.78,4.8,4.8,0,5,4.78,0,0,4.8,4.8,4.8,4.8,4.76,4.8,4.78,4.8,4.8,4.78,5,4.8,0,5.025,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",5,5,5,5,5,5,0,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5.53333333333333,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",4.8,4.8,4.8,4.8,4.8,4.8,5.025,0,0,0,4.8,4.78,4.8,4.8,4.78099999999999,4.8,4.8,4.8,4.8,4.78,5,4.8,0,5,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
