"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,5.66666666666667,5.5,5.83333333333333,5.725,6.328,6.28166666666666,6.09333333333332,10,6.13200000000002,6.29166666666667,5.86666666666667,5.78833333333334,6.36199999999999,5.66666666666667,6.16666666666667,7.39000000000002,5.78333333333334,9,6.096,6.2,7.66666666666667,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",5.755,0,5.66833333333333,5.95166666666667,5.78833333333334,6.34000000000001,5.83333333333333,5.66666666666667,10,5.946,5.83333333333333,6.05166666666666,5.66666666666667,6.03199999999999,6.16666666666667,5.66666666666667,7.10666666666665,5.68166666666667,8.5,6,6.4,7.33333333333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",6,5.83333333333333,0,5.79333333333333,6.18666666666667,6.6,5.89333333333334,6.05500000000001,10,6.6,5.98333333333333,6.16666666666667,6,6.23,6.18666666666667,5.85833333333333,7.33333333333333,5.83333333333333,8.5,5.8,6,7.33333333333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",6.16666666666667,6.33333333333333,5.66666666666667,0,5.87333333333333,6.2,5.83333333333333,5.79,10,6.2,5.66666666666667,6.06,5.68000000000001,6.396,5.83333333333333,6,7.17666666666666,5.74666666666667,9,6.376,6.2,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",6,5.66833333333333,5.66666666666667,6,0,6.4,5.66666666666667,5.92,10,6.4,6.16666666666667,5.97000000000001,5.66666666666667,6,5.81666666666668,5.66666666666667,7,6.16666666666667,8.84000000000003,6.262,6.196,7.33333333333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",6.2,6.49000000000001,6.4,6,6,0,6.2,6.4,10,6.4,6.2,6.176,6.06799999999998,6.5,6.03,6.4,8.5,6.68799999999999,9,7,6.54000000000002,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",5.77666666666666,5.66166666666667,5.95833333333333,5.83333333333333,5.90333333333333,6.31800000000001,0,6.01333333333334,10,6,5.54999999999999,6,5.65166666666666,6,6.10833333333333,5.83333333333333,7,6.16666666666667,8,6.16600000000001,6.2,7.33333333333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",5.88,6,5.83333333333333,5.71166666666666,5.79166666666667,6.4,5.83333333333333,0,10,6.2,6.06833333333333,5.33333333333333,6.33333333333333,5.8,5.66666666666667,5.83333333333333,7,5.66666666666667,8.5,6.4,6.196,7.66666666666667,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",5.94200000000001,6,6.6,6,6.052,6.298,6.152,6.4,10,0,6.2,6.2,6.34400000000001,6.5,6.348,6,9,6,8.5,6.75,6.25,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
