"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,4.2,4.622,4,4.13,4.812,3.984,0,3.8,0,4.4,3.485,3.968,4.21600000000001,4.6,4.1,6,4.6,0,4.6,4.8,4.33199999999999,0,4.5,4.424,6.5,5.33333333333333,4.6,4.8,3.2,3.6,5.66666666666667,3.95599999999999,3.726,6.52999999999997,4.5,4.2,4.5,3.964,0,0,4.128,4,5.66666666666667,4.96000000000001,4.55,4.67999999999999,10,5,4,3.65999999999999,10,10,10
"Finland",4,0,5.026,4,4.26400000000001,4.4,4.172,0,4.4,0,4.78999999999999,4.295,4.36799999999998,3.052,4,4.75,6.66499999999996,4.6,0,4.35999999999999,4.586,4,0,4.25,4.2,6.04999999999995,5.60333333333331,5.184,4.6,4.12,3.932,5.33333333333333,4.2,4,6.5,4.1275,4.032,4.87,4.392,0,0,4.128,4.128,5.54333333333333,5.715,3.492,4.6075,10,5,4,3.904,10,10,10
"France",4.326,4,0,3.63199999999999,4.572,4.81600000000001,4.382,0,4.972,0,4.6,4.25,5.4,4.4,4.31,4.8725,6.01499999999999,4,0,5.33,4.036,4.8,0,5.38,4,6.47000000000003,5.33333333333333,4,4.262,3.88399999999999,4.568,5.33333333333333,4.18,4.6,6.5,4.22,3.68,4.6225,3.6,0,0,4.11199999999999,4.4,5.72666666666667,4.5,4.69,4.8625,10,5.5,4.048,3.974,10,10,10
"Germany",5.22,4.4,4.598,0,4,4.2,4.6,0,4.508,0,4.4,4.985,4.048,4.01600000000001,3.974,5.10250000000001,7,4.33,0,5,4,4.252,0,4.28750000000001,4.4,6.5,5.81000000000002,4.404,5.03,4.6,3.828,5.33333333333333,4.912,4.548,6.63,5.25,4.6,4.78,4.188,0,0,4.462,4.6,5,4.5,4.502,4.5,10,5,4.32,4.348,10,10,10
"Ireland",4.15599999999999,4.4,3.6,4.088,0,4.216,4.116,0,5,0,4.2,5.075,4.248,4.6,4.724,4.57250000000001,6.5,4.142,0,3.6,4.682,4.57,0,4.36,4,7,5.66666666666667,4.16800000000001,4.162,4.8,4.642,5.53666666666663,4.734,4.79399999999999,6.06499999999994,4.25,4,5,4.186,0,0,4.852,4.3,5.66666666666667,5.2825,4.4,4.62,10,5,3.382,4.828,10,10,10
"Israel",4.6,4.488,4.328,4.4,4.28799999999999,0,4.55999999999999,0,3.768,0,5,4.5,4,4.2,4.6,4.5,6.5,5.04000000000001,0,3.43000000000001,4.072,4.536,0,5,4.93999999999999,6.5,5.66666666666667,3.932,4.504,4.6,3.936,6,4.4,4.346,6.5,5,4.81799999999998,5,4.54000000000001,0,0,4.2,4,4.66666666666667,4.5,4.79600000000002,5,10,4.5,4.2,3.94399999999999,10,10,10
"Italy",4.41,4,4.186,4.6,4.434,4.702,0,0,4,0,4.6,4.88500000000001,3.256,4.8,4.546,4.75,6.5,3.6,0,4.692,4.4,4.008,0,4,4.602,7.5,5.66666666666667,4.8,4.836,3.728,4.526,5.33333333333333,3.83399999999999,3.62,6.5,4.8175,4.016,5,4.51,0,0,4.072,3.794,5.66666666666667,4.83,5.058,5,10,4.65,4.386,4.336,10,10,10
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",4.6,4,4.692,3.14800000000001,4.6,4.016,4.48,0,0,0,4.586,4.765,4.2,5.05,4.2,4.95249999999999,6,4.542,0,4.24000000000001,3.48,4.8,0,4.7775,3.96200000000001,6.5,5.33333333333333,4.2,3.82,3.56,4.476,5.66666666666667,4,4.40799999999999,6.23000000000002,4.71,4.528,4.435,4.32800000000001,0,0,4.416,3.6,5.33333333333333,4.25,4.146,4.5825,10,4.5125,3.962,5.16000000000001,10,10,10
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
