"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,5.28166666666667,4.7325,4.945,4.88125,4.84666666666667,0,0,4.70875,0,4.70375,4.95,4.5625,4.8075,5.27666666666667,4.83125,4.8375,4.63125,0,5.17666666666667,6.11,5.88,0,4.7325,5.30833333333333,6.1625,4.53375,5.17333333333333,4.81,8.03,8.715,5.10833333333333,5.5675,8.22,5.8275,6.0175,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",5.01,0,5.11333333333333,5.725,5.01166666666667,5.71,0,0,5.21166666666667,0,5.17666666666667,5.67,5.00666666666667,5.23833333333333,5.30666666666667,5.37333333333333,5.27166666666667,5.075,0,5.9575,6.22,8.015,0,5.34833333333333,5.8625,8.325,5.54,5.82,5.47833333333333,8.72,0,6.055,5.72,8.315,5.7075,5.6625,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",4.885,5.24333333333333,0,4.70875,4.507,5.38,8.52,0,4.468,0,4.387,4.655,4.308,4.509,4.65875,4.508,4.325,4.368,0,4.80875,5.275,5.28,0,4.472,4.55625,5.01,4.27,4.585,4.286,5.77,8.24,4.66,5.925,5.47,5.87,5.865,8.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",5.24333333333333,5.5725,4.56,0,4.70875,5.31166666666667,8.13,0,4.765,0,4.535,5.28,4.785,4.56125,5.00833333333333,4.6825,4.54125,4.71375,0,4.93666666666667,5.8125,4.97166666666667,0,4.7075,5.01166666666667,5.9675,4.7675,5.375,4.47875,5.7675,8.425,5.04166666666667,5.62,6.5125,8.82,5.8125,8.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",4.715,5.40833333333333,4.485,4.61625,0,5.34,8.91,0,4.368,0,4.388,4.65875,4.489,4.437,4.56125,4.51,4.392,4.505,0,4.63875,5.04666666666667,5.01166666666667,0,4.407,4.33375,4.94166666666667,4.374,4.60875,4.488,5.81,8.53,4.86375,5.8725,5.665,5.8625,5.7325,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",5.27666666666667,5.47,5.47833333333333,5.04666666666667,5.20666666666667,0,0,0,5.11166666666667,0,5.11333333333333,5.815,5.31166666666667,5.07333333333333,5.525,5.17333333333333,5.315,5.00833333333333,0,5.8175,8.515,6.0225,0,5.13833333333333,6.015,9.22,5.24,5.9575,5.12333333333333,9.21,8.64,6.17,5.4125,7.915,7.935,5.6075,9.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",0,0,8.115,7.935,8.02,0,0,0,7.84,0,7.645,8.5,8.315,8.705,8.74,8.925,8.13,8.34,0,7.715,8.01,8.235,0,8.61,8.51,8.23,8.01,8.815,8.13,8.905,0,8.23,0,8.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",4.83,5.23833333333333,4.189,4.605,4.591,5.08333333333333,8.705,0,0,0,4.55,4.90875,4.346,4.312,4.6075,4.332,4.512,4.346,0,4.68375,5.17833333333333,5.14666666666667,0,4.341,4.4875,5.08333333333333,4.348,4.76,4.149,5.6225,9.4,4.58,5.8225,5.865,5.615,5.5125,8.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norway",4.48875,5.175,4.337,4.60875,4.206,5.145,8.81,0,4.346,0,0,4.88375,4.243,4.39,4.68,4.433,4.589,4.424,0,4.41125,5.345,5.315,0,4.447,4.73375,5.475,4.372,4.46125,4.288,5.705,8.545,4.615,5.57,5.4725,5.7175,5.9225,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",5.21333333333333,6.1225,5.01,5.14333333333333,4.73125,5.8625,8.82,0,4.85625,0,4.81,0,4.60875,4.605,5.075,4.60625,4.76125,4.7075,0,5.31166666666667,4.94333333333333,6.0175,0,4.88125,5.03833333333333,5.145,4.7075,4.76125,4.5775,5.6625,8.62,4.48375,8.135,7.63,5.71,8.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
