"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,3.267,3.348,3.188,3.352,3.224,3.347,0,3.069,0,3.209,3.36375,3.185,3.246,3.203,3.4575,4.81,3.149,0,3.25,3.112,3.13,0,3.25625,3.27,4.71,3.74333333333333,3.483,3.068,3.423,3.11,3.945,3.367,3.347,4.5075,3.61,3.269,3.57875,3.329,0,0,3.11,3.351,3.47833333333333,3.65875,3.207,3.41125,7.24,3.485,3.429,3.186,7.23,7.215,6.73
"Finland",3.312,0,3.206,3.324,3.286,3.228,3.329,0,3.407,0,3.429,3.56,3.205,3.168,3.183,3.55625,4.7575,3.427,0,3.187,3.268,3.146,0,3.4375,3.266,4.61,4.00666666666667,3.122,3.286,3.327,3.349,3.98,3.389,3.069,4.805,3.4575,3.402,3.44,3.107,0,0,3.347,3.127,4.08666666666667,3.8325,3.207,3.35375,6.71,3.65875,3.285,3.329,7.13,6.53,6.905
"France",3.254,3.41,0,3.367,3.127,3.404,3.266,0,3.246,0,3.289,3.1875,3.243,3.208,3.205,3.25625,4.7125,3.128,0,3.45,3.146,2.991,0,3.61,3.148,4.66,3.70666666666667,3.188,3.207,3.069,3.294,3.67666666666667,3.209,3.444,4.615,3.45875,2.986,3.5375,3.146,0,0,3.265,3.227,3.74666666666667,3.43125,3.009,3.43375,6.83,3.61125,3.126,3.107,6.625,6.43,6.925
"Germany",3.288,3.349,3.208,0,3.228,2.989,3.206,0,3.186,0,3.245,3.4625,3.308,3.445,3.05,3.3575,4.6175,3.145,0,3.247,3.327,3.304,0,3.5575,3.285,4.905,4.01,3.166,3.248,3.127,3.305,3.94833333333333,3.154,3.087,4.3725,3.53125,3.31,3.5325,3.306,0,0,3.267,3.249,3.71833333333333,3.4625,3.331,3.51,6.725,3.5125,3.368,3.186,6.915,6.825,7.02
"Ireland",3.362,3.346,3.086,3.311,0,3.192,3.365,0,3.168,0,3.169,3.2825,3.266,3.289,3.049,3.48375,4.5575,3.268,0,3.149,3.168,3.048,0,3.53625,3.291,4.71,3.94666666666667,3.246,3.126,3.448,3.484,3.75666666666667,3.144,3.412,4.62,3.435,3.267,3.435,3.308,0,0,3.209,3.126,3.80833333333333,3.70625,3.29,3.40375,6.925,3.40875,3.286,3.308,7.115,7.305,7.525
"Israel",3.35,3.308,3.335,3.266,3.285,0,3.144,0,3.206,0,3.126,3.43375,3.161,3.208,3.306,3.5825,4.7125,3.164,0,3.224,3.209,3.108,0,3.505,3.332,4.5075,3.97166666666667,3.289,3.248,3.209,3.233,3.70666666666667,3.128,3.385,4.4025,3.3825,3.206,3.46375,3.228,0,0,3.389,3.17,3.74833333333333,3.41,3.227,3.61,6.92,3.30625,3.289,3.25,7.02,7.015,7.3
"Italy",3.311,3.208,3.167,3.186,3.189,3.11,0,0,3.163,0,3.326,3.435,3.304,3.19,3.194,3.3575,4.8525,3.247,0,3.104,3.19,3.287,0,3.7325,3.25,4.76,3.81166666666667,3.288,3.227,3.083,3.366,3.64666666666667,3.109,3.088,4.655,3.58125,3.563,3.4125,3.385,0,0,3.232,3.424,3.87833333333333,3.48625,3.052,3.38875,7.03,3.58375,3.466,3.371,6.615,7.12,6.82
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",3.246,3.306,3.385,3.324,3.129,3.168,3.446,0,0,0,3.35,3.3625,3.207,3.111,3.089,3.58375,4.5575,3.304,0,3.147,3.124,3.13,0,3.60375,3.287,4.5675,3.61166666666667,3.147,3.149,3.245,3.146,4.04833333333333,3.466,3.351,4.76,3.63375,3.268,3.51,3.184,0,0,3.41,3.033,4.045,3.61,3.192,3.43125,7.115,3.5325,3.406,3.25,6.645,7.21,7.02
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norway",3.127,3.369,3.347,3.251,3.286,3.328,3.208,0,3.269,0,0,3.48875,3.326,3.249,3.345,3.48125,4.6575,3.285,0,3.025,3.225,3.212,0,3.355,3.241,4.7525,3.87666666666667,3.288,3.211,3.185,3.285,3.68166666666667,3.287,3.228,5.055,3.885,3.107,3.46125,3.25,0,0,3.287,3.048,3.78666666666667,3.6825,3.148,3.53125,7.415,3.5325,3.349,3.507,7.81,7.325,7.225
"Portugal",3.755,3.40875,3.455,3.73,3.5325,3.4875,3.8075,0,3.605,0,3.5575,0,3.6875,3.41,3.6075,3.50666666666667,4.5075,3.69,0,3.63375,3.3575,3.45625,0,3.95,3.7575,4.705,4.555,3.51,3.285,3.41125,3.63625,4.01166666666667,3.4075,3.52875,4.7575,3.68,3.455,3.94833333333333,3.48625,0,0,3.6325,3.61125,4.8025,3.545,3.55625,3.58166666666667,7.345,4.04166666666667,3.70625,3.4575,6.825,7.735,7.415
"Spain",3.289,3.225,3.305,3.266,3.39,3.287,3.389,0,3.053,0,3.189,3.60875,0,3.488,3.41,3.45875,4.6675,3.191,0,3.129,3.111,3.125,0,3.63375,3.191,4.4175,3.85,3.212,3.246,3.208,3.208,3.78,3.303,3.306,4.31,3.55625,3.385,3.385,3.168,0,0,3.505,2.99,4.08333333333333,3.38875,3.129,3.50875,6.725,3.51,3.264,3.286,7.135,7.03,7.325
"Sweden",3.126,3.251,3.407,3.307,3.287,3.309,3.368,0,3.286,0,3.216,3.305,3.483,0,3.306,3.58375,4.755,3.227,0,3.306,3.345,3.124,0,3.4625,3.306,4.565,3.57833333333333,3.271,3.293,3.333,3.31,3.97333333333333,3.17,3.383,4.46,3.55625,3.247,3.73125,3.07,0,0,3.227,3.246,4.01666666666667,3.31125,3.27,3.6325,7.33,3.55875,3.384,3.327,7.025,6.83,6.925
"Switzerland",3.108,3.188,3.229,3.225,3.15,3.245,3.207,0,3.21,0,3.271,3.47875,3.167,3.313,0,3.38125,4.705,3.288,0,3.365,3.186,3.333,0,3.2625,3.145,4.705,3.74333333333333,3.09,3.325,3.226,3.208,3.71,2.988,3.166,4.6575,3.5825,3.246,3.53125,3.29,0,0,3.21,3.267,3.67666666666667,3.51,3.188,3.58375,7.635,3.3375,3.149,3.144,6.715,7.245,6.61
"The Netherlands",3.269,3.27,3.107,3.271,3.526,3.232,3.146,0,3.263,0,3.108,3.5775,3.089,2.95,3.265,0,4.66,3.068,0,3.189,3.107,3.208,0,3.535,3.248,4.7575,3.815,3.342,3.308,3.233,3.164,3.91,3.266,3.264,4.5525,3.415,3.085,3.60875,3.19,0,0,3.049,3.303,3.545,3.48875,3.088,3.65875,6.625,3.62875,3.224,3.247,7.205,6.65,7.31
"Turkey",4.455,4.915,4.71,4.9625,4.4675,4.7525,4.8125,0,4.4725,0,4.76,4.66,4.705,4.4625,4.62,4.515,0,4.7125,0,4.6575,4.7625,4.5525,0,4.7125,4.5625,4.6525,4.865,4.555,4.57,4.6625,4.655,7.43,4.46,4.3675,4.605,4.71,4.715,4.76,4.9525,0,0,4.6025,4.81,4.5075,6.83,4.7575,4.755,0,7.02,4.6125,4.6,0,0,0
"United Kingdom",3.39,3.285,3.188,3.108,3.069,3.181,3.266,0,3.227,0,3.266,3.73125,3.271,3.17,3.37,3.30875,4.7575,0,0,3.192,3.233,3.194,0,3.5575,3.27,4.7025,3.54,3.271,3.244,3.144,2.95,4.07833333333333,3.206,2.996,4.7075,3.56,3.346,3.71,3.366,0,0,3.35,3.367,3.64666666666667,3.68375,3.289,3.71,7.02,3.51375,3.305,3.205,7.025,6.73,6.76
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austria",3.206,3.31,3.152,3.486,3.226,3.266,3.275,0,3.408,0,3.221,3.46125,3.242,3.149,3.285,3.2825,4.4575,3.247,0,0,3.394,3.126,0,3.31125,3.291,4.61,3.74833333333333,3.307,3.266,3.329,3.247,3.67833333333333,3.324,3.309,4.7625,3.5325,3.287,3.59125,3.308,0,0,3.344,3.352,3.61,3.61875,3.391,3.66125,7.32,3.66375,3.204,3.187,6.835,7.205,7.02
"Greece",3.228,3.245,3.192,3.167,3.397,3.386,3.248,0,3.112,0,3.224,3.58375,3.228,3.049,3.248,3.7075,4.31,3.449,0,3.25,0,3.306,0,3.53125,3.268,4.5125,3.78,3.288,3.347,3.207,3.246,3.885,3.345,3.19,4.965,3.33875,3.226,3.75875,3.306,0,0,3.072,3.228,3.77166666666667,3.58375,3.171,3.4275,7.33,3.50625,3.347,3.232,6.91,7.625,7.31
"Denmark",3.089,3.245,3.189,3.194,3.291,3.288,3.344,0,3.344,0,3.327,3.33625,3.307,3.087,3.17,3.35625,4.76,3.046,0,3.126,3.149,0,0,3.285,3.348,4.8075,3.74833333333333,3.287,3.306,3.246,3.327,3.855,3.17,2.987,4.85,3.48875,3.285,3.53375,2.991,0,0,3.366,3.365,3.88333333333333,3.7275,3.347,3.38625,7.41,3.2825,3.309,3.209,7.135,6.71,7.015
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",3.4375,3.4875,3.38125,3.485,3.6325,3.23875,3.60875,0,3.5575,0,3.66375,4.00833333333333,3.43125,3.61,3.46125,4.00833333333333,4.765,3.3575,0,3.4125,3.43375,3.25875,0,0,3.43875,4.5525,3.58,3.43375,3.53875,3.655,3.50875,4.515,3.3825,3.53,4.61,4.175,3.21,3.67833333333333,3.66625,0,0,3.50875,3.33125,4.075,3.67833333333333,3.5125,3.45625,7.61,3.71666666666667,3.435,3.46125,7.425,7.415,6.73
"Iceland",3.092,3.209,3.229,3.093,3.468,3.136,3.266,0,3.172,0,3.164,3.5375,3.328,3.427,3.129,3.31125,4.9,3.287,0,3.165,3.247,3.207,0,3.43625,0,4.7,3.61833333333333,3.486,3.205,3.207,3.346,3.74166666666667,3.225,3.13,4.905,3.50625,3.207,3.70875,3.146,0,0,3.368,3.227,3.75166666666667,3.5075,3.211,3.6625,6.63,3.585,3.447,3.025,7.215,7.11,7.02
"Bosnia & Herzegovina",4.9625,4.6625,4.8075,4.5125,5.005,4.8625,4.3625,0,4.7575,0,4.5575,4.8075,4.3575,4.615,4.7525,4.605,4.6125,4.81,0,4.76,4.4625,4.76,0,4.5575,4.81,0,4.71,4.7525,4.705,4.8675,4.855,6.35,4.5625,4.705,4.5675,4.6575,4.665,4.555,4.4575,0,0,4.6725,4.5075,4.86,7.415,4.8625,4.855,0,6.515,4.6175,4.5575,0,0,0
"Croatia",3.845,3.77166666666667,3.785,4.07666666666667,3.64333333333333,3.71,3.80666666666667,0,3.85,0,3.64666666666667,4.4625,3.535,3.71,3.71333333333333,3.475,4.955,3.77333333333333,0,3.87833333333333,3.70666666666667,3.58333333333333,0,3.745,4.00833333333333,4.7125,0,3.78,3.67333333333333,3.875,3.655,6.925,3.91,3.97666666666667,4.615,3.94333333333333,3.67833333333333,3.87666666666667,3.805,0,0,3.74333333333333,3.97666666666667,3.675,4.805,3.80833333333333,3.675,0,4.665,3.75166666666667,3.87666666666667,0,0,0
"Slovenia",3.25,3.032,3.228,3.129,3.186,3.189,3.229,0,3.168,0,3.404,3.5825,3.188,3.245,3.389,3.5075,4.5075,3.206,0,3.267,2.986,3.186,0,3.63125,3.125,4.7575,4.075,0,3.228,3.186,3.171,3.87833333333333,3.304,3.17,4.555,3.38625,3.187,3.435,3.247,0,0,3.267,3.29,4.08166666666667,3.38125,3.505,3.5325,7.54,3.5075,3.27,3.245,6.915,6.52,7.625
"Estonia",3.224,3.267,3.245,3.193,3.247,3.19,3.106,0,3.326,0,3.23,3.56375,3.165,3.328,3.267,3.7125,4.5125,3.446,0,3.088,3.186,3.33,0,3.41875,3.204,4.81,3.77333333333333,3.345,0,2.968,3.226,3.63833333333333,3.147,3.183,4.415,3.7075,3.267,3.45375,3.348,0,0,3.226,3.166,4.11666666666667,3.41125,3.145,3.5825,7.925,3.6875,3.37,3.248,7.53,7.035,7.22
"Hungary",3.208,3.226,3.253,3.291,3.39,3.187,3.345,0,3.169,0,3.387,3.60125,3.214,3.386,3.29,3.4325,4.9125,3.05,0,3.163,3.251,3.349,0,3.485,3.145,4.71,3.81166666666667,3.246,3.131,0,3.092,4.01833333333333,3.244,3.268,4.7575,3.65875,3.291,3.415,3.168,0,0,3.327,3.302,3.91166666666667,3.53125,3.07,3.485,7.31,3.58625,3.232,3.132,7.22,6.925,6.92
"Lithuania",3.133,3.146,3.202,3.225,3.164,3.11,3.225,0,3.193,0,3.146,3.78125,3.327,3.406,3.126,3.70875,4.6575,3.286,0,3.126,3.225,3.244,0,3.53125,3.046,4.8025,3.77666666666667,3.208,3.306,3.148,0,3.94333333333333,3.108,3.229,4.505,3.49375,3.19,3.78,3.27,0,0,3.306,3.147,3.61833333333333,3.65875,3.346,3.3075,6.515,3.33,3.269,3.232,7.12,7.43,6.725
"Poland",4.11666666666667,3.78166666666667,4.07333333333333,4.38333333333333,3.75166666666667,4.08166666666667,3.90833333333333,0,3.84333333333333,0,3.78,3.975,4.14666666666667,4.10666666666667,3.90833333333333,5.1075,6.63,3.64833333333333,0,3.75333333333333,3.87666666666667,3.58166666666667,0,4.61,3.77833333333333,6.82,7.415,3.81166666666667,3.65333333333333,3.98,3.90666666666667,0,3.64166666666667,3.705,6.915,4.515,3.94833333333333,4.61,3.73666666666667,0,0,4.21166666666667,3.98333333333333,6.45,3.94333333333333,3.88,4.82,7.715,4.855,4.10833333333333,3.61333333333333,7.03,7.325,7.52
