"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,6.43666666666665,6,6.66666666666667,5.75,6.66666666666667,0,0,6.25,0,6.25,6.66666666666667,6.11750000000001,6.0575,6.85333333333332,5.8875,6,6.22999999999999,0,6.66666666666667,7,8.5,0,6.25,7,7.5,5.75,6.76999999999998,6,10,10,6.66666666666667,7,10,8.24000000000001,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",6.66666666666667,0,6.66666666666667,7.90999999999997,6.66666666666667,7.41499999999999,0,0,6.98666666666668,0,6.66666666666667,8.5,6.84333333333332,7,6.66666666666667,6.90333333333335,6.66666666666667,6.66666666666667,0,7.13999999999999,7,10,0,6.76666666666665,8,10,6.66666666666667,8.315,6.49000000000001,10,0,7.83000000000004,7.5,10,8,8.32000000000005,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",5.815,6.66666666666667,0,6.1525,5.348,7.79999999999999,10,0,5.6,0,5.174,6.25,5.41600000000001,5.296,5.97,5.6,5.8,5.4,0,6.5,6.66666666666667,7,0,5.79200000000001,6,6.66666666666667,5.6,5.75,5.6,8,10,6,6.91499999999999,8,8.5,8.39999999999998,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",7,7.93499999999995,6.41000000000003,0,5.75,6.66666666666667,10,0,5.77000000000001,0,5.75,7.33333333333333,6,6,6.34333333333332,6.25,6,5.75,0,6.66666666666667,8,7,0,6,6.66666666666667,8.51499999999999,6.25,6.66666666666667,6.25,8,10,6.66666666666667,7.5,8,10,8.74000000000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",6,6.66666666666667,5.01199999999999,5.75,0,6.66666666666667,10,0,5.6,0,5.6,6.25,5.67,5.62999999999999,6,5.6,5.8,6,0,6.49000000000001,7.03333333333334,6.77333333333331,0,5.4,6.25,6.66666666666667,5.6,6.13,5.3,7.5,10,6.5,9,7.5,7.5,8.30999999999995,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",7,8.5,6.66666666666667,6.66666666666667,6.67333333333333,0,0,0,6.17333333333333,0,6.66666666666667,9,7.06000000000002,7,8,6.66666666666667,7,6.44333333333335,0,7.5,10,8,0,6.73999999999999,8,10,6.66666666666667,7,6.86666666666667,10,10,8,8,10,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",0,0,10,10,10,0,0,0,10,0,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",6,7,5.704,6.24250000000001,5.90799999999999,6.86333333333334,10,0,0,0,5.4,5.99000000000001,5.5,5.75799999999999,5.97500000000002,6,5.4,5.6,0,6,6.66666666666667,6.66666666666667,0,5.34000000000001,6,6.88666666666666,6.2,6,5.2,8.34500000000003,10,5.7525,8,8.5,7.97999999999999,8.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
