"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The.Netherlands","Turkey","United.Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia...Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R..Macedonia","Latvia","Ukraine","Albania","Serbia...Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech.Republic","Montenegro","Azerbaijan","San.Marino","Australia","Macedonia","Netherlands"
"Belgium",0,0.0259259259259259,0.0173611111111111,0.011087530864197,0.0145833333333333,0.0111111111111111,0,0,0.0172922916666652,0,0.0143899999999958,0.0197530864197531,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0145833333333333,0.0111111111111111,0,0.0197530864197531,0.025,0.0581691666666631,0,0.0166117361111099,0.0308641975308641,0.0444444444444444,0.0166666666666667,0.0111111111111111,0.0145833333333333,0,0,0.011087530864197,0,0,0.0581691666666631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0.0197530864197531,0,0.011087530864197,2.50000000010914e-06,0,0.0249469444444433,0,0,1.11111111115942e-06,0,1.11111111115942e-06,0.0581691666666631,0.0197530864197531,0.0111111111111111,0,0.0259259259259259,0.0197530864197531,0,0,0.044335833333331,0.025,0,0,0.0197530864197531,0.0664469444444397,0,0,0.0444444444444444,0,0,0,0.025,0.0249469444444433,0,0.044335833333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",0.0166666666666667,1.11111111115942e-06,0,0.0145833333333333,0.00888888888888886,0,0,0,0,0,0.00399999999999997,0.0166666666666667,0.00399999999999997,0,0.0145833333333333,0.00888888888888886,0.00888928888888888,0.00399151111111094,0,0.0166117361111099,0,0,0,0,0.0172922916666652,0.0197530864197531,4.00000000017675e-07,0.0173611111111111,0.00711111111111112,0.0444444444444444,0,0.00625,0,0,0.0694444444444444,0.057839166666656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",0,0.0583333333333333,0.0145833333333333,0,0.0145833333333333,1.11111111115942e-06,0,0,0.0145422916666658,0,0.0110839583333328,0,0.0166666666666667,0.0111111111111111,0,0.0110839583333328,0.0145833333333333,0.0172922916666652,0,0.0197530864197531,0,0.0197530864197531,0,0.0110839583333328,0.0111111111111111,0.0666666666666667,0.0145833333333333,1.11111111115942e-06,0.0166666666666667,0,0,0.0259259259259259,0.0444444444444444,0.0444444444444444,0,0.0444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",0.0111111111111111,0.0111111111111111,0,0.0110566666666655,0,0.0259259259259259,0,0,0,0,0.00711111111111112,0.0166666666666667,0.00400000000000001,0.00399151111111094,0.0166666666666667,0.00399151111111094,0,0.00400000000000001,0,0.0165839583333315,0,0.0259259259259259,0,0,0.0166117361111099,0.0111111111111111,0.00888888888888886,0.0111111111111111,0.00709373333333297,0.025,0,0.0166117361111099,0.0694444444444444,0.0583333333333333,0.0666666666666667,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",0.0197530864197531,0.0249469444444433,0.0111111111111111,0,0.0197530864197531,0,0,0,0.0197530864197531,0,0.0111111111111111,0.0581691666666631,0.0111111111111111,0.0259259259259259,0.025,0.0197530864197531,0.0197530864197531,0,0,0.0666666666666667,0,0.0664469444444397,0,0.011087530864197,0.0583333333333333,0,0.0197530864197531,0.0444444444444444,0,0,0,0.0666666666666667,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",0.00625,0.0296296296296296,0.00711111111111112,0.0145422916666658,0.00711111111111112,0,0,0,0,0,0.00392039999999826,0.0166666666666667,0.00399151111111094,0.00400000000000001,0.0166666666666667,0.00933333333333335,0.00711111111111106,0.00399999999999997,0,0.0111111111111111,0,0.0259259259259259,0,0.00400000000000001,0.0145833333333333,0.0197530864197531,0,0.0145833333333333,0.00711111111111112,0,0,0.0145833333333333,0.0444444444444444,0.0444444444444444,0.0666666666666667,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
