"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,4.804,4.24400000000001,4.508,4.04,4.21,0,0,4.41600000000001,10,4.178,4.95,4.156,4.57999999999999,4.6,4.066,4,3.936,0,10,4,4.77,0,4.236,4.27,5.128,3.6,4.7,4.912,5.04333333333333,4,4.6,5.094,4.076,6.79499999999996,4.6,4.376,4.48399999999999,4.302,0,4.28749999999999,4,4.54000000000001,4.3,4.786,5.66666666666667,5.005,5.89333333333332,5.66666666666667,6,10,0,0,0
"Finland",4.53000000000001,0,4.312,4.164,4.266,4,0,0,4.4,10,3.6,4.6,4.446,3.996,3.86,4.4,3.6,4.6,0,10,4,4.43599999999999,0,3.76,3.63999999999999,4.6,4,4.2,4.87,5.41666666666667,4.48,4.67199999999998,4.4,4.2,6,4.676,5.13199999999999,5.18,4.384,0,4.4425,5.04399999999999,4.2,4.10599999999999,4.2,5.66666666666667,4.71000000000001,5.33333333333333,5.33333333333333,6,10,0,0,0
"France",3.878,4.74400000000001,0,5.13799999999999,4.524,4.8,0,0,5,10,4,3.95,4.592,5.314,4.2,4.264,4.502,4.584,0,10,4,4.5,0,4.6,4.59399999999999,4.714,4.6,4.28399999999999,3.94400000000001,5.33333333333333,4.734,5,4.736,4.4,7,4.622,4.436,4.758,4.142,0,4.61749999999999,4.2,4.116,3.482,3.658,5.66666666666667,4.5,5.50666666666666,5.33333333333333,5.94999999999997,10,0,0,0
"Germany",4.67,4.062,4,0,4.61600000000001,4.2,0,0,5.01,10,4,4.41,4.11199999999999,4.272,4.2,3.6,3.588,4.618,0,10,3.6,4.43199999999999,0,4,4.628,4.48,4.576,4.886,4.2,5.66666666666667,4,4.466,4.576,4.2,6.5,3.6,4.542,4.68800000000001,4,0,4.75749999999999,4.2,4.4,5.348,4.6,5.66666666666667,4.5,5.66666666666667,5.66666666666667,5.33333333333333,10,0,0,0
"Ireland",4.4,3.858,5.008,4.34,0,4.55599999999999,0,0,3.804,10,4.24400000000001,4,4.47000000000001,4.172,4,4.73,4.172,3.8,0,10,4.126,4.116,0,4.312,3.83199999999999,5.32,4.488,3.976,3.612,5.66666666666667,4.2,4.408,4.1,4.00599999999999,7.5,3.81,4.4,4.2,5.13200000000001,0,4.5,5.058,4.4,4.354,3.6,5.91333333333334,4.5,4.66666666666667,5.66666666666667,5.66666666666667,10,0,0,0
"Israel",4.36,2.99200000000001,4.418,4.314,3.6,0,0,0,3.494,10,4.70799999999999,4.19799999999999,3.956,4.348,4.23,4.48,5.2,3.96200000000001,0,10,4.398,4.476,0,3.6,4.19,3.918,5,4.4,4,5.33333333333333,4.6,3.86400000000001,4.438,4.124,7,4.6,4.13600000000001,4.8,4.69,0,4.5,4.6,4.354,4.4,4.4,5.33333333333333,4.5,5,5.66666666666667,5.83999999999999,10,0,0,0
"Italy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",4.2,3.832,4.79,3.988,4.4,5.33799999999999,0,0,0,10,4.04400000000001,4,4.2,4.428,3.734,4.4,4.6,4,0,10,4.4,5,0,4.676,4.11199999999999,4,3.736,4.8,3.908,5,4,4.304,4.8,4.2,6.5,3.764,4.2,4,4.066,0,4.75,3.904,4.11,4.8,4.036,5.42,4,5.80000000000003,5,5.66666666666667,10,0,0,0
"Monaco",10,10,10,10,10,10,0,0,10,0,10,10,10,10,10,10,10,10,0,0,10,10,0,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0
"Norway",4.226,4.10799999999999,4.708,4.588,3.548,4.298,0,0,4.192,10,0,3.828,4.78,3.8,4.094,4.54400000000001,4.128,4.576,0,10,3.748,4,0,4.46399999999999,4,4.092,4.746,4.412,4.67999999999998,5.67333333333333,3.998,4.736,4.41199999999999,4,7,4.636,4.696,4.574,4.412,0,4.8775,4.56,4,3.92399999999998,3.28,5.33333333333333,4.5,6,5.33333333333333,5.66666666666667,10,0,0,0
"Portugal",4.46399999999998,4.30599999999999,3.6,4.26,4.03199999999999,3.554,0,0,3.886,10,4.2,0,4,3.6,3.876,4.162,4.4,4.934,0,10,4.2,4.296,0,4.48399999999999,3.796,4.8,4.468,4.65599999999999,4.22000000000001,5.10333333333331,4.564,3.722,4,3.8,6.5,4.94,4.136,4,4.8,0,4.5,4.76199999999999,4.6,4.616,4.248,5,5,6,5.33333333333333,5.33333333333333,10,0,0,0
"Spain",4.45,5.03800000000001,4.56400000000001,4.138,4.488,4.57599999999999,0,0,4.24399999999999,10,4.55599999999999,4.488,0,4.83199999999999,3.562,4,4.39399999999999,4.4,0,10,4.128,4.336,0,4.06999999999999,5.268,4.686,4.19,4.348,4.00599999999999,5.33333333333333,4.448,3.8,4.58,4,7,4,4.372,4.494,4.446,0,4.10999999999999,4,3.6,4.31999999999999,4.426,5.33333333333333,4.5,5.66666666666667,5,5.33333333333333,10,0,0,0
"Sweden",5,4.058,4,4.82399999999999,4.778,4.486,0,0,3.61,10,4.092,4.576,4.2,0,4.836,4.8,3.652,4.264,0,10,4.8,4.8,0,4,3.6,4.608,3.6,4.072,4,5.66666666666667,4.078,3.8,4.6,4,7,4.312,3.8,4.37,4.324,0,4.595,4.998,4.592,4.8,4.452,5.58666666666666,4.75,5.66666666666667,5.66666666666667,5.66666666666667,10,0,0,0
"Switzerland",3.804,4.126,4.182,4.6,4.4,5.248,0,0,4.548,10,4,3.79,4.508,4.2,0,4.47000000000001,4.30599999999999,4.89000000000001,0,10,4.23,4,0,4,4.2,3.6,4.2,4.828,4,5.66666666666667,4.492,4.168,4.584,4.428,6.5,4.926,4.18200000000001,4.336,4.728,0,4.5,4,4.178,4.714,4.884,5.66666666666667,4.145,5.33333333333333,5.66666666666667,5.33333333333333,10,0,0,0
"The Netherlands",3.696,3.678,4.8,3.8,3.914,4.31600000000001,0,0,3.60599999999999,10,4.088,4.982,4.6,4,4.2,0,4.21,4.2,0,10,4,4,0,4,3.872,4.084,4.386,4.432,4,4.95000000000001,4.2,4.2,4,4.8,6.5,4.932,4.862,4.85999999999998,4.432,0,5.09,4.738,4.418,5.246,3.772,5.92666666666666,5.03999999999999,5.33333333333333,5.66666666666667,5.66666666666667,10,0,0,0
"Turkey",4.20200000000001,4.954,4.8,4.034,4.34599999999998,4.176,0,0,4.64,10,4.174,4.546,4.318,4.396,4.6,4,0,4.376,0,10,4.28,4.8,0,4.8,4.2,4.242,3.6,4,4.41600000000001,4.66666666666667,3.628,4.348,4.746,5.216,7.5,4.666,4,4.328,4,0,5,4.6,3.8,4.348,4,5.66666666666667,4.5,5.66666666666667,6,5,10,0,0,0
"United Kingdom",4.2,3.6,3.8,4,4.34400000000001,5,0,0,4.8,10,4.152,4.208,4.58799999999999,4.268,4.12,4.10200000000001,4.2,0,0,10,4.8,4.2,0,3.812,4.6,4.158,4.066,4.186,3.86799999999999,5.66666666666667,4.6,4.05599999999999,4.314,3.344,6.5,4,4.2,4.8,3.236,0,4.5,4.2,3.62,4.6,4.034,5.79999999999999,5,5.13999999999999,5.66666666666667,5,10,0,0,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austria",10,10,10,10,10,10,0,0,10,0,10,10,10,10,10,10,10,10,0,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,0,0,0,0
"Greece",4.85599999999999,3.378,4,4.6,4.194,4.41600000000001,0,0,4.6,10,4.4,4.64,5.2,4.716,4.8,4.4,3.8,4.672,0,10,0,3.68799999999999,0,4.50599999999999,3.74,4.34399999999999,3.914,3.44,3.778,6,4.296,4.27,4.8,4.376,6,4.284,4.2,4.2,4.29399999999999,0,5.5325,4,4.28,4.746,4.496,5.33333333333333,5,5.66666666666667,5.66666666666667,5.66666666666667,10,0,0,0
"Denmark",4.462,4,4.172,4.6,3.798,4,0,0,4.412,10,4.648,4.398,4.63000000000001,4.6,4,3.8,4.2,4.748,0,10,4.292,0,0,3.46200000000002,4.41799999999998,4.566,4.572,4,4.106,5.33333333333333,4.162,4.148,4.64400000000001,4.2,6.5,4.552,3.62,4.2,4.38,0,4.5,4.53599999999999,3.4,3.796,3.668,5.34333333333332,4.59,5,5.33333333333333,5.68666666666665,10,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",3.73000000000001,4.54399999999999,4.12599999999999,4.8,3.6,4.2,0,0,4.318,10,4.78799999999999,3.8,4.408,4,5.412,4.03599999999999,3.692,3.948,0,10,3.646,4.2,0,0,4.242,4.26199999999999,4,4.108,4.35599999999999,5.66666666666667,4.4,4.53599999999999,4.8,4,6,4.272,3.648,5.578,4.912,0,5,4.482,4.274,4,4.228,6,4.95,5.66666666666667,6,5.93666666666665,10,0,0,0
"Iceland",3.772,4.4,4,4.74399999999999,4.63599999999999,3.788,0,0,4.192,10,4,4.4,4.16,4.834,4.368,4.25599999999999,4,3.958,0,10,4.76,4.424,0,4.142,0,4.63199999999999,4.4,4.78,3.924,5.66666666666667,4,4.676,4.334,4.268,7,4.424,4.162,3.4,4.44,0,4.62,4.004,4.2,3.898,4.464,6,5,5.69333333333331,5.33333333333333,4.84999999999999,10,0,0,0
"Bosnia & Herzegovina",4.528,4.494,4.6,3.6,4.234,4,0,0,4.37,10,4,4.2,4.428,4.114,4.4,3.78,4.024,3.856,0,10,4.984,4.204,0,4.846,3.90200000000001,0,4.6,4.792,4.114,5.54333333333333,4,4,4.572,4.39,6.5,4.2,4,4.63200000000001,4.2,0,3.9025,4.6,4.2,4,4.332,6,4.565,5.94666666666668,5.66666666666667,5.33333333333333,10,0,0,0
"Croatia",4.2,4.2,4.052,4.908,4.2,3.998,0,0,4.372,10,4.2,4.804,4.542,3.6,3.6,4.8,3.43,4.414,0,10,4.264,5,0,4,4,4.336,0,4.6,4.2,5.89666666666665,3.98399999999999,4.59,4.348,3.76,7,3.846,4.6,4.148,3.778,0,5.16499999999999,4.78399999999999,4.748,4.172,4.46,6,4.17,5.66666666666667,5.73333333333335,5.66666666666667,10,0,0,0
"Slovenia",4.34399999999999,4.88,4.6,4.08199999999999,3.34,4.16,0,0,4.096,10,4.4,4.122,4.45599999999999,4.916,4.528,4.56799999999998,4.8,4.2,0,10,3.936,4.586,0,3.8,3.8,4.45,4.488,0,4.988,5.33333333333333,4.2,4.714,4.842,4.8,6.98000000000002,4,4.2,4,4.4,0,5,4.4,4,4.4,3.754,5.33333333333333,4.5,5.33333333333333,6,5.33333333333333,10,0,0,0
