"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,7,7,6.5,6.5,6.5,6.5,0,6.00999999999999,0,6.66999999999996,10,6,6.95500000000004,5.5,7,0,6.91499999999996,0,6,6.5,6.5,0,6.56999999999994,6,10,7,7.5,6.08500000000004,6.5,6.34000000000003,6,10,10,0,7,7.5,7,5.5,0,0,6.5,7,6.5,7,6,6.5,6.19499999999994,6.39499999999998,6.5,5.80999999999995,7,0,0
"Finland",6.65999999999997,0,7.12,6.5,6.89499999999998,7.00999999999999,7,0,6.98500000000001,0,6.5,10,7.5,7,6.5,7,0,6.33000000000004,0,6.5,6.5,6.5,0,6.5,7,10,6.5,7.34000000000003,7,7,6.5,6.5,10,10,0,6.65999999999997,6.98500000000001,7.5,6.5,0,0,6.13499999999999,7,6.5,6.5,7,6,6.5,5.71500000000003,7,6.5,7,0,0
"France",6.5,7,0,7,6,7,7,0,7,0,7.5,10,5.97500000000002,6.5,6.5,6.5,0,6.5,0,6.63999999999999,7,6.5,0,7.5,7.74000000000001,10,6.5,6,6.5,6.5,7,6,10,10,0,7,6.82500000000005,7,6.5,0,0,6,7,6.29499999999996,6.5,7,6.63999999999999,6,6.37,7,6.5,6.5,0,0
"Germany",6.93499999999995,5.5,6.5,0,6.5,6.5,6.5,0,5.5,0,7,10,7,6.5,7,6.5,0,7,0,7.22500000000002,6.5,6.5,0,6.60000000000002,7.5,10,6.5,6,6.50999999999999,7.38999999999999,6.5,7,10,10,0,7,7,6.46500000000003,7.5,0,0,6.83499999999998,6.5,7,6.5,6.32500000000005,6.41999999999996,7,7.5,6,6.5,7,0,0
"Ireland",6,6.93999999999994,7,7,0,6,6.5,0,6.71500000000003,0,6.65999999999997,10,6.5,6.34000000000003,7.16999999999996,6.97000000000003,0,7,0,6.5,6.61500000000001,7,0,7,7,10,6.5,7,7,6.5,7,7,10,10,0,6.5,7,7,6.5,0,0,6.88499999999999,6.5,6.5,6,6.5,6.5,6.5,7,6,6.75999999999999,6.5,0,0
"Israel",6.5,7,7.125,6.5,7,0,7,0,6.5,0,7.5,10,6,6.84000000000003,5.89499999999998,6.5,0,6.5,0,6.5,7,6.5,0,6.5,6,10,7,7.5,7,7,6.70500000000004,6.5,10,10,0,6,6.5,6.5,6,0,0,6.5,6.5,7,7,7.5,6.03999999999996,7.16999999999996,6.5,7,6.46500000000003,7,0,0
"Italy",6,7,6.5,7,6.5,6.5,0,0,7,0,6.5,10,7.5,6.5,7,6,0,6.5,0,7.5,7,6.5,0,6.5,6.5,10,6.625,7,6.5,6.5,6.5,7,10,10,0,6.5,6.5,7.5,6.5,0,0,6.5,7.5,6.75,7,6.5,7,6.5,6.5,6.86000000000001,7,6.5,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",6.5,7,6.5,7.48000000000002,7,6.5,7,0,0,0,6.5,10,5.5,6.5,6,6.76999999999998,0,6.5,0,6.5,6.5,6.5,0,7.07500000000005,6.16999999999996,10,6.5,6.5,5.5,7,6.5,7,10,10,0,6.5,7,6.5,6.5,0,0,6.73000000000002,6.88999999999999,6.5,6.54999999999995,6.5,7,6.5,6,7.5,6.92499999999995,7,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
