"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,4.7,4.8525,4.86,4.6675,4.605,4.61,0,4.91,0,4.565,7.245,4.6625,4.8275,4.51,4.965,0,4.755,0,4.855,4.52,4.705,0,4.62,4.86,6.93,4.51,4.805,4.8125,4.7525,4.6625,4.555,6.83,7.54,0,4.7625,4.8575,4.8625,4.9025,0,0,4.7625,4.61,4.8125,4.86,5.005,4.77,4.5175,4.705,4.9125,4.6125,4.6525,0,0
"Finland",4.76,0,4.9,4.455,4.77,4.5575,4.6625,0,4.5075,0,5.0525,7.325,4.66,4.6,4.805,4.52,0,4.705,0,4.71,4.5575,4.46,0,4.705,4.765,6.725,4.755,4.6625,4.57,4.955,4.7575,4.615,7.42,7.225,0,4.86,4.42,4.805,4.5625,0,0,4.805,4.66,4.7625,4.5525,4.715,4.76,5.01,4.555,4.7525,4.61,4.8,0,0
"France",4.805,4.42,0,4.805,5.0575,4.6575,4.55,0,4.855,0,4.91,7.515,4.8075,4.7525,4.5075,4.5625,0,4.6075,0,4.6625,4.5525,4.5175,0,4.51,4.6125,7.615,4.655,4.8575,4.71,4.6625,4.615,4.8575,6.74,7.315,0,4.55,5.0525,4.605,4.805,0,0,4.8625,4.805,4.91,4.815,4.6125,4.7125,4.8,4.7525,5,4.5675,4.6525,0,0
"Germany",4.815,4.7075,4.86,0,4.9025,4.8075,4.705,0,4.7125,0,4.5075,6.815,4.7075,4.865,4.4175,4.71,0,4.8175,0,4.805,4.5075,4.4625,0,4.4725,4.76,7.42,4.705,4.6725,4.905,4.705,4.6625,4.6575,7.01,6.62,0,4.8675,4.615,4.46,4.475,0,0,4.8125,4.7575,4.41,4.51,4.71,4.8525,4.9,4.815,4.7125,4.71,4.4575,0,0
"Ireland",4.5125,4.81,4.3675,4.7525,0,4.8575,4.76,0,4.4675,0,4.805,7.41,4.5125,4.4575,4.715,4.8525,0,4.6625,0,4.515,4.7125,5.0025,0,4.765,4.9125,6.705,4.715,4.705,4.36,4.855,5.0575,4.77,7.24,7.23,0,4.61,4.8575,4.6575,4.7625,0,0,4.7075,4.6525,4.66,4.8575,4.5575,4.955,4.265,4.805,4.9,4.51,4.465,0,0
"Israel",4.705,4.76,4.66,4.5525,4.515,0,4.6575,0,4.81,0,4.4125,6.925,4.4075,4.7075,4.615,4.4675,0,4.56,0,5.0025,5.0025,4.7575,0,4.8075,4.7125,7.22,4.6125,4.605,4.5,4.805,4.71,4.81,7.515,7.03,0,4.76,4.5625,4.7575,4.665,0,0,4.515,4.4675,4.505,4.6125,4.41,4.5625,4.6625,4.6125,4.6175,4.5575,4.6125,0,0
"Italy",4.6625,4.71,4.5125,4.7525,4.6075,4.56,0,0,4.755,0,4.715,7.825,4.6625,4.81,4.715,4.755,0,4.5175,0,4.8,4.61,4.8575,0,4.465,4.6025,6.65,4.715,4.355,4.6,4.95,4.3225,4.76,8.12,7.425,0,4.375,4.85,4.605,4.5175,0,0,4.5625,4.7575,4.8575,4.36,4.8125,4.9525,4.5125,4.4625,4.5525,4.6575,4.6075,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",4.9575,4.8625,4.61,4.71,4.8625,4.6675,4.3125,0,0,0,4.61,6.64,4.8025,4.605,4.805,4.8525,0,4.715,0,4.41,4.605,4.7575,0,4.605,4.755,7.22,4.72,4.7075,4.555,4.565,4.7,4.51,7.915,7.235,0,4.8,4.7075,4.7175,4.66,0,0,4.71,4.565,4.9075,4.705,4.7575,4.705,4.66,5,4.8525,4.4075,4.7575,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
