"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The.Netherlands","Turkey","United.Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia...Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R..Macedonia","Latvia","Ukraine","Albania","Serbia...Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech.Republic","Montenegro","Azerbaijan","San.Marino","Australia","Macedonia","Netherlands"
"Belgium",0,0.0092715111111098,0.00704039999999849,0.00933333333333335,0.0106666666666667,0.0106315111111104,0.0172922916666652,0.00400000000000001,0,0,0.00400000000000001,0.0092715111111098,0.0106137333333322,0.00704039999999849,0.0111111111111111,0.00930706666666612,0.0106137333333322,0.0159292888888874,0.0106137333333322,0.00933333333333335,0.0173611111111111,0.0106666666666667,0,0.0145833333333333,0.00933333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0.00400000000000001,0,0.00704039999999849,0.00711111111111112,0.00933333333333335,0.0110229333333315,0.0166666666666667,0.0106666666666667,0,0,0.00933333333333335,0.00711111111111112,0.00704039999999849,0.0106666666666667,0.0111111111111111,0.0105609333333311,0.00920959999999735,0.0106666666666667,0.00711111111111112,0.0106666666666667,0.0145833333333333,0.0105075999999966,0,0.0110006249999976,0.0106137333333322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",0.0106666666666667,0.00933333333333335,0,0.00933333333333335,0.00933333333333335,0.00400000000000001,0.0145833333333333,0.00400000000000001,0,0,0.0106666666666667,0.00711111111111112,0.00933333333333335,0.0106137333333322,0.00704039999999849,0.0106666666666667,0.0092715111111098,0.00930706666666612,0.00933333333333335,0.00400000000000001,0.0145833333333333,0.00711111111111112,0,0.0172922916666652,0.0106666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",0.00933333333333335,0.0106666666666667,0.0110670666666657,0,0.0106666666666667,0.00928071111111,0.0173611111111111,0,0,0,0.0105607111111089,0.00933333333333335,0.00400000000000001,0.00711111111111112,0.00933333333333335,0.00400000000000001,0.0106137333333322,0.00392039999999829,0.0111111111111111,0.00933333333333335,0.0110839583333328,0.00400000000000001,0,0.0173611111111111,0.0106666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",0.00920959999999735,0.00933333333333335,0.0105962666666652,0.0106137333333322,0,0.00711111111111112,0.0111111111111111,0.00933333333333335,0,0,0,0.0106137333333322,0.00711111111111112,0.0106137333333322,0.0111111111111111,0.0106137333333322,0.00711111111111112,0.0110670666666657,0.00933333333333335,0.00711111111111112,0.0166666666666667,0.00400000000000001,0,0.0111111111111111,0.0106137333333322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",0.0092715111111098,0.00933333333333335,0.00711111111111112,0.0092715111111098,0.00933333333333335,0,0.0173611111111111,0.0092715111111098,0,0,0.00933333333333335,0.00933333333333335,0.00400000000000001,0.00711111111111112,0.00711111111111112,0.00933333333333335,0.0106137333333322,0,0.00933333333333335,0.00920959999999735,0.0145833333333333,0.00711111111111112,0,0.0145833333333333,0.00933333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",0.0110566666666655,0.0172922916666652,0.0111111111111111,0.0145422916666658,0.00625,0.0145422916666658,0,0.0166666666666667,0,0,0.0111111111111111,0.0165839583333315,0.0165014583333298,0.0145422916666658,0.0166666666666667,0.0172922916666652,0.0145833333333333,0.0145833333333333,0.0145833333333333,0.0166666666666667,0.0166666666666667,0.0111111111111111,0,0.0111111111111111,0.0165839583333315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0.0106666666666667,0.00400000000000001,0.0111111111111111,0.0106666666666667,0.00392039999999829,0.0092715111111098,0.0172233333333303,0,0,0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0110670666666657,0.0106666666666667,0.00400000000000001,0.0106666666666667,0.0111111111111111,0.0106666666666667,0.00933333333333335,0.0145833333333333,0.0106666666666667,0,0.0166666666666667,0.0105962666666652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
