"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,6.94666666666668,6.25,6.25,5.75,6.75,7,7.03333333333334,6.5,0,5.75,5.5675,6,5.9325,7.07333333333334,8.5,6,6.21000000000001,8.5,6.25,6.5,6,0,6.5,6,8,8.5,8,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",6.66666666666667,0,6.25,6.02250000000001,6.25,6.66666666666667,6.66666666666667,6.66666666666667,6,0,6.25,5.92750000000001,6,6.0025,6.25,6.36333333333334,6.66666666666667,5.75,8.12,6.5,6.5,7.04999999999999,0,5.75,6.75,7.62,8.5,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",6.20499999999998,5.88749999999999,0,5.6,5.2,6.25,6.66666666666667,6.70333333333334,5.4,0,5.898,6,5.4,5.45999999999999,6.25,6.66666666666667,6.75,5.66600000000001,8,5.4,6,6.5,0,6,5.624,6.66666666666667,6.62333333333334,7.67500000000001,10,8,10,7.5,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",6.75,6,5.8,0,5.654,6.43000000000001,6.66666666666667,6.22666666666665,5.2,0,5.6,5.44400000000001,5.51199999999999,5.6,5.5,6.74333333333334,6,5.4,8,5.6,5.6,5.75,0,5.2,5.4,6.50999999999999,6.66666666666667,7.5,10,8,10,8,10,7.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",6,6,5.6,5.6,0,5.75,7.33333333333333,6.66666666666667,5.2,0,5.446,5.8,5.54200000000001,5.6,6.24000000000001,6.66666666666667,6.13,5.70999999999999,8.24000000000001,5.6,5.876,5.64250000000001,0,6.2,5.448,7.33333333333333,6.24333333333334,8.5,10,8,10,8.5,10,7.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",5.75,7.33333333333333,6.29500000000002,6.75,6.2475,0,6.66666666666667,6.66666666666667,6.03749999999999,0,5.75,5.95750000000001,6.25,6.25,6.66666666666667,7.5,6.25,6,8.5,5.9725,6,6,0,6.2775,6,8,8.5,7.72500000000002,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",7,6.66666666666667,7,7,6.66666666666667,6.66666666666667,0,7.11333333333334,7.19666666666664,0,6.83,6.66666666666667,6.66666666666667,6,6.66666666666667,7.91,6.84333333333332,7,8,7.33333333333333,6.66666666666667,6.33333333333333,0,7,7,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",7,6.66666666666667,7,6.66666666666667,6.66666666666667,7.15000000000001,6.61666666666668,0,6.66666666666667,0,7.10333333333331,6.77333333333331,6.66666666666667,6.66666666666667,6.66666666666667,8.5,6.66666666666667,6.66666666666667,8,6.66666666666667,6.66666666666667,6.66666666666667,0,6.66666666666667,6.66666666666667,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",5.75,6.25,5.6,5.6,5.24000000000001,5.75,6.66666666666667,6.66666666666667,0,0,5.4,5.4,5.8,5.41600000000001,6.16999999999999,6.33333333333333,6.25,5.702,8.54499999999996,5.2,5.56199999999999,6.25,0,5.676,5.8,6.66666666666667,6.33333333333333,8,10,7.85499999999999,10,8.18000000000001,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norway",6.09,6,6,5.6,5.958,7,7.25666666666666,7,5.2,0,0,5.20599999999999,6.4,5.496,6.23499999999999,7,6.25,5.2,7.21499999999997,5.80799999999999,5.6,6.035,0,5.4,5.4,6,6.33333333333333,8,10,8.5,10,8,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",5.75999999999999,6.25,5.81199999999999,6,5.404,6,7.33333333333333,6.66666666666667,5.92800000000002,0,5.4,0,5.622,5,6,6.66666666666667,6.10999999999999,5.8,8.5,5.8,5.878,6.25,0,5.41199999999999,5.6,6.63,7.23666666666668,8,10,8.5,10,8,10,7.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",6.25,6,6.05,6,6.2,6.25,6.69666666666668,6.99000000000001,5.4,0,5.854,6,0,5.8,6.25,6.81333333333335,6.25,5.4,7.5,5.71800000000001,5.6,6,0,5.8,5.18,6.73666666666668,7.66666666666667,8,10,8.55500000000001,10,7.5,10,8.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",5.75,6.25,5.2,5.8,5.6,6.25,6.66666666666667,6.84666666666666,5.76399999999999,0,5.92,5.6,5.94400000000001,0,6.25,6.66666666666667,6.5,5.6,8.5,6.09000000000001,5.674,6.25,0,5.4,5.6,6.66666666666667,6.66666666666667,8.37,10,8.5,10,8,10,7.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",6.69333333333335,5.75,6.25,6.0575,5.75,7,6.66666666666667,6.66666666666667,6.25,0,6,6,6.25,6.3775,0,6.66666666666667,7,6.25,8.79000000000002,6.07249999999999,6.185,6.66666666666667,0,6.25,5.5,7.66999999999999,8.26499999999999,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Netherlands",8,6.54333333333333,6.66666666666667,7.19333333333333,6.03000000000001,8.5,8.5,8,6.79333333333333,0,6.58333333333333,6.25999999999999,6.66666666666667,6.99666666666667,6.74666666666667,0,9.31999999999999,6.66666666666667,10,6.66666666666667,7.26666666666665,8.5,0,6.66666666666667,7,7.5,8.23000000000002,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",6.25,6.69666666666668,6.02500000000001,6.5,6,6,7.07000000000001,6.01666666666665,6,0,6.25,6,5.75,6.25,6.33333333333333,7.26000000000001,0,5.75,8,6,6.25,6.5,0,5.84,5.75,7.58000000000001,6.51000000000001,7.75,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
